grant_id,name_std,acreage,year,county_text,raw_entry
II_6_0,Geo. Dawson & Francis Haydon,1000.0,1666.0,,"GEO. DAWSON & FRANCIS HAYDON, 1000 acs., 22 Oct. 1666, p. 1,
Adj. Col. More Fantleroy’s orphants, the
Indian Path, line of said Randolph &
Major Beale. Trans. of 20 pers: Thomas Poole, Alice Potter, Mary Meake,
Jno. Little, Wm. Parker,» Wm. Todd,
Jno. Price, Sarah Price, Jno. Ellyson,
Geo. Walker, Ann Leniton, Fra. Neson,
Wm. Gilbert, Michael Short, Jno.
Wormington, Richard Founding."
II_6_1,Jno. & Tho. Boocock,750.0,1666.0,Westmoreland,"JNO. & THO. BOOCOCK, 750 acs.,
(Co. blank), 26 Oct. 1666, p. 1. Adj.
Tho. Rowland, ——— Vaughan, towards
Wm. Freeke, Lt. Col. Pope, Appatamocks Cr. & Jno. Beard. 350 acs. assigned by Lt. David Phillips to Lt. Col.
Jno. Washington, who assigned to Nich.
Saxton & by him sould to sd. Boocock,
as by records of Westmoreland Co. may
appear; 400 acs. for ttans. of 8 pers:
Francis Catwell, John Elliott,
Cookindall (?), Margtt. West, Jno.
Boocock, Anto: Boocock, Tho. Boocock,
Alice Boocock,"
II_6_2,Richard Heaberd,,1666.0,,"RICHARD HEABERD, W’moreland
Co., 26 Oct. 1666, p. 2. Mentions’ Mr.
(Tho. ?) Pope."
II_6_3,Andrew . Monrowe,920.0,1666.0,,"ANDREW . MONROWE, 920 acs.
W’'moreland Co., 26 Oct. 1666, p. 2.
Mentions Potomack River,’ Thomas
St , John Hallowes, gent., Jno.
Bear . Part granted him by patent
8 Jan. 1651 & Mar. 1662; 280 acs.
for trans. of 6 pers: Sarah Fanshaw,
Margaret Bush, William Love, Sampson
Wine, William Chase (?), Simon (?)
Miller.
(NoTE: The first record on page 3
does not give the name of patentee,
acreage or county; -the date is 26 Oct.
1666. Mentions Puscaticon Creeke, an
Indian Path,.& —~— Armestrong & Will
Young.)"
II_6_4,William Peasly,390.0,1666.0,New Kent,"WILLIAM PEASLY, 390 acs. New
Kent Co., S. side the freshes of Yorke
Riv., p. 3, 26 Oct. 1666. Beneath land
of Maj. Genll. Hammond, running to
Henry Baxter,:.to Stones Swamp &c.
Granted Jno. Moore & Wm. Peasly, 12
Oct. 1662 & due sd. Peasly as survivor."
II_6_5,Wm. Grey & Christopher Blackborne,775.0,1666.0,Rappahannock,"WM. GREY & CHRISTOPHER
BLACKBORNE, 775 acs.,..S. side of
Rappa. Co. Upon James Gaynes, running to swamp at head of Occupasion
Cr. &c. P. 3, 26 Oct: 1666.-Trans. of
16 pers: Edward Berry, Kath. Berry,
Mas (or Mat.) Batten, Eliza. Berry, Eliz.
Luggin, Mary Luggins, Ann Berry, Mary
Berry, Mary Luggin, Danll. Lading,
Prescilla Coding, Morgan Doll, Edwd.
Kelly, James Greene; 2 Negroes."
II_6_6,Wm. Grey,363.0,1666.0,Rappahannock,"WM. GREY, 363 A., 1 R., & 4 Per.,
Rappa. Co., Sittingborne Parish, S. side
of Rappa. Riv., beg. on James Gaines
&c., to main br. of sw. of Occapason Cr,
&c., 26 Oct. 1666, p. 3. Trans. of. 8
pers: Francis Coate, Runbridge,
James Lodsey; Ann Simpson. (Record
mutilated.)"
II_6_7,John Paine,1585.0,1666.0,Rappahannock,"JOHN PAINE, 1585 acs. Rappa. Co.,
p. 4, 26 Oct, 1666.. (Mutilated.) (The
following names appear under this record): Samll. Howard, Jno. Jnoson
(Johnson), Wm. Cooke, Eliza. Smith,
Jno. Warren, Francis James, Richd. Harman, Jno. Cotton, Ann Dunbar, Henry
Mayes, James White, Wm. Evans, Rich.
Symonds, Wm. Coppage, Stephen
Sadl Mary Peny, Ellinor Day,
Henry Thomas."
II_6_8,Major Jno. Weire,3000.0,1666.0,Rappahannock,"MAJOR JNO. WEIRE, 3000 acs., p.
4, 26 Oct. 1666. (Mutilated.) S$.’ side
Rappa. River, on S. E. point of a great
Island; part of 2000 acs. eranted Mr.
Epaphroditus Lawson; mentions land ‘of
Coll. Jno. Catletr & Occupacon Cr.
Trans. of 60 pers: Jno. Browne, Mary
Gage, Tho. Webster, Wm. Thomas,
Matthew Wms. (Williams, Jno. Short,
Alex Davis, Charles Greene, Jno. Kippin, Wm. Sanders, Edwd. Frost, Wm.
Jones, Tho. Carr, Isaac Ball, Tho. Leonard, Wm. Addison, Wm. Leech, Alice
Goodale, Jno. Church, Charles Farthing, Richd. White, Abr. Iveson, Isaac
Brumly, Jno. Rawlings, Fra. Fefs
(Fess ?), Aug. Tomson, Wm. Tompson,
Peter Francklin, Joseph Cort, Jno. Lancashiere, Jeremy Davis, Wm. Davis,
Mary Swan, Char. Edward, Tho. Goulding, Wm. Harris, Cor. Williams, David
Jones, Wm. Gatting, Saml. Corbett,
John Gale, Wm. Peirce,. Jno. Bell,
Samll. Stanford, Wm. Everett, Margtt.
Atkins, Tho. Peirce, Wm. Peirce, Jno.
Yates,Tho. Gee, Fra. Wick."
II_6_9,John Walton,450.0,1666.0,Isle Of Wight,"JOHN WALTON, (WATTON), &
ELIZABETH, his wife 450 acs.-Isle of
Wight Co., p. 5, 26 Oct. 1666. Beg.
nere. Bennet’s parke, running to upper
part of Goose hill Cr. &c. 350 ats. be
ing half of 700 acs. granted unto Hugh
Winn, dec’'d., 3 Mar. 1640 & lately
found to escheat & Uue sd. patentees,
&c., & 100 acs. being marsh bet. the
high land & Pagan Cr., & due for trans.
of 2 pers: Jno. Watton & Francis
Wren,"
