volume,book,raw_entry
II,13,"CAPT. THOMAS CARR, Gent., of
King Wm. Co; 400 acs, (N. L.), Hanover Co; on S. side the Northanna
(Riv.); adj. Capt. Carr’s line; above
Bear Sw; 24 Mar. 1725, p. 1. 40 Shill."
II,13,"SAME. 400 acs. (N. L.); same location, & date, p. 2. Adj. Capt. Thomas
Carr & land of Martin Davenport. 40
Shill."
II,13,"SAME. 400 acs. (N. L.); same location, date, & page. On both sides of
Bear Sw., beg. at Capt. Carr’s line. 40
Shill. ‘"
II,13,"CAPT. THOMAS CARR, JUNR.,
Gent., of King Wm. Co; 400 acs. (N.
L.), Hanover Co; on S. side the Northanna River; adj. John Luck’s line; 24
Mar. 1725, p. 3. 40 Shill."
II,13,"BENJAMIN BROWN, 300 acs. (N.
L.), Hanover Co; on both sides of the
N. fork of Beverdam Creek; on Mr.
Alexander Cocke's line; 24 Mar. 1725,
p. 4."
II,13,"SAME. 308 acs. (N. L.); same
County, date, & page. On both sides
of Hollowing Camp Cr. 35 Shill."
II,13,"SAME. 400 acs. (N. L.); same Co..
& date; p. 5. On both sides the N. &
S. forks of Little River; beg. at mouth
of Horsepen Sw., on N. side the river;
on the Grant line; to S. side of the
river, &c. 40 Shill."
II,13,"SAME. 400 acs. (N. L.); same Co.,
date, & page. Adj. Mr. Alexander
Cock’s corner; Benjamin Brown’s line;
James Suter; & land of Capt. Carr. 40
Shill."
II,13,"SAME. 400 acs. (N. L.); same Co.,
& date; page 6. On both sides of
Hinson’s Cr; adj, Benjamin Brown. 40
Shill.
By Robert Carter, Esqr., President oj
Council, Ge."
II,13,"FRANCIS SLAUGHTER, of St.
Mary’s Par., Essex Co; 1000 acs, (N.
L.), Spotsyl. Co., in St. George's Par;
in the fork of Rappa, Riv; on N. br.
of the Mountain Run, adj, Augustine
Smith; Francis Thornton; & John
Roberts’ land; 2 Nov. 1726, p. 6."
II,13,"ROBERT TALIAFERRO, of Essex
Co; 670 acs. (N. L.), Spotsyl. Co., in
St. George’s Par; on E. side of the
SW Mountains, & known by the name
of Silvania; adj. James Taylor; John
Dauson; on S. side of the Black Warnot
Run; on W. side of the New Road; &
Mr, Richard Taliaferro; 14 Dec. 1726,
p. 8."
II,13,"DAVID MIMS, 358 acs. (N. L.),
Henrico Co; N. side of James Riv., on
Licking Hole Cr; 31 Oct. 1726, p. 9.
40 Shill."
II,13,"SAME. 358 acs. (N. L.)}; same location, date, & page. 40 Shill,"
II,13,"JACOB WALL, 760 acs. (N. L.),
Spotsyl. Co., in St. George’s Par; in
the fork of Rappa. River; beg. in line
of Robert Beverley; to patent line of
William Skrien; crossing Flatt Run; to
Isaac Norman; 5 Nov. 1726, p, 10."
II,13,"JOHN TALIAFERRO, 1000 acs. (N.
L.), Spotsyl. Co., in St. George’s Par;
on the SW Mountains, above the Mountain Run; 2 Nov. 1726, p. 10."
II,13,"RICHARD FITZWILLIAM, ESQR.,
1000 acs. (N. L.), Spotsyl, Co., in Se.
George’s Par; on N. side the Northanna
CAVALIERS AND PIONEERS
(Riv.), above Duglass Run; adj. Col.
John Waller; & Mr, Harry Beverley; 14
Jan, 1726, p. 11."
II,13,"WILLIAM RANDOLPH, Gent., 964
acs. (N. L.), Henrico Co; N. side of
Appamatock Riv; on S. side of a br.
vf the South Cr. of Deep Cr. of James
River; within ‘a chain of the main Letalone Creek; 31 Oct. 1726, p. 11. 5
Lbs., Money."
II,13,"THOMAS RAVENSCRAFT, of
James City Co; 2418 acs, (O. & N.L.),
Pr. Geo. Co; on lower side of Nummisseen Cr; at mouth of Bowen's
Branch; adj. John Gillum’s corner;
down George’s Branch; 2 Nov. 1726,
p. 12. 1592 acs. part granted Thomas
Ravenscraft, William Hamlin & William Epes by former patent. 40 Shill."
II,13,"JAMES SKELTON, of King Wm.
Co; 1600 acs, (O. & N. L.), in Henrico Co; beg. on N,. side the Fluvanna
(Riv.) below the Rock Island; crossing
Hardwar Creek; 14 Jan. 1726, p. 14.
1200 acs. part granted him, 20 Feb.
1723. 40 Shill."
II,13,"SAME. 1600 acs. (O. & N. L.);
same Co., date, & page. Beg. at upper
end of an island; on the river % mi.
below mouth of Slate River. 1200 acs.
part granted him by 3 patents, dated 20
Feb, 1723."
II,13,"SAME. 750 acs. (N, L.); same Co.
& date; page 15. Adj, Major Harrison;
& Mayo's land. 3 Lbs., 15 Shill."
II,13,"HENRY WILLIS, GENT., of Glouester Co; 3000 acs. (Lapsed L.), Spotsyl.
Co., in St. George’s Par; in the Little
fork of Rappa. River, & on N, side of
the South Riv. of Rappa; beg. against
point of the Gourd vine fork on N.
side the river; & down the Indian Run;
1 Feb. 1726, p. 16. Granted to Henry
Irwin, Gent., of Eliza. City Co., on
Condition of seating, &c., which he
failed to do, &c. 15 Lbs., Money."
II,13,"HARDY COUNCIL, Gent., 2380
acs., Isle of Wight Co; on both sides
of the Beverdam Sw; beg. on N. side
thereof, ‘twixt his own & land of John
Council; to John Dawtry’s old field; 14
Dec. 1726, p. 17. 941 acs. part, granted
his father Hodges Council, 20 Mar.
1667; the residue being surplus, &c.
7 Lbs., 5 Shill."
II,13,"FIELD JERRERSON, 897 acs. (N.
L.), Henrico Co; on S. side of Swift
Cr; adj. Capt. Thomas Jefferson; &
James Frankling’s line; 2 Nov. 1726, p.
18. 4 Lbs., 10 Shill,"
II,13,"CAPT. THOMAS MASSIE, GENT.,
of New Kent Co; 400 acs. (Lapsed L.),
Hanover Co; on N, side of the New
Found River; adj. William Rice’s
corner; 2 Nov. 1726, p. 18. Granted
to Cecilia Anderson, Widow, 13 Nov.
1721, on condition of seating, &c. 40
Shill."
II,13,"WILLIAM AUGELY (Augeley), 540
acs. (N, L.), Hanover Co; adj, lands of
John Harris; Abraham Cook; Sutet’s;
Aldridge’s; & Mr. Garland’s on Mussel
Point Sw; 2 Nov. 1726, p. 19. 55 Shill."
II,13,"LEONARD HOLMES, 278 acs. (N.
L.), Spotsyl. Co., in St. George’s Par;
adj. Augustine Smith; Charles Taliaferro; Moots’ patent line; Capt. William Hansford, & land of Mr, Francis
Thornton; 31 Oct. 1726, p. 20."
II,13,"RICHARD FITZWILLIAM,  ESQR.,
both of Willtamsburgh; 4020 acs.
(Lapsed L.), Spotsyl. Co., in St.
George's Par; formerly in St. Mary's
Par. in Essex Co; on S. side the S.
river of Rappa., beg. about 4 mi. from
the river; 14 Dec. 1726, p. 20. Granted
Larkin Chew, 2 May 1713, upon condition of seating, &c. 20 Lbs., 5 Shill."
II,13,"WILLIAM ROBERTSON, GENT..
of Williamsburg; 1500 acs. (Lapsed
L.), Spotsyl. Co., in St. George’s Par;
beg. by a gr. Swamp called Nassaponack,
cor, of Lawrence Smith & Mr. Robert
Taliaferro’s patent (both deceased); to
land of the Honble, Mann Page, Esqr;
14 Dec. 1726, p. 21. Part of 6000 acs.
granted Catesby Cocke, son & heir of
William Cocke, Esqr; Chicheley Corbin
Thacker, Francis Thornton, Junr., &
William Strothers, 12 May 1721, upon
condition of seating, &c; 1500 acs.
part allotted to said Catesby Cocke by
the other patentees, on which he failed
to make such seating, &c. 7 Lbs., 10
Shill."
II,13,"TIMOTHY CHANDLER, 390 acs.
€N. L.), King Wm. Co., in St, Margaret’s Par; bet, the South River & Polecat; beg. on Charle Yarbrough’s line,
on W. side of the main road; adj.
Thomas Hamm; his own; Joseph
Chandlor; & line of Richard Mauldin;
31 Oct. 1726, p. 22. 40 Shill."
II,13,"SAME. 400 acs. (N. L.); same location, & date; page 23. Beg, at Thomas Norment, on E. side of the main
road to Mauldin’s; adj, lands of Thomas
Hamm; & Joseph Chandlor. 40 Shill."
II,13,"JOSEPH CHANDLER, 400 acs. (N.
L.), King Wm. Co., St, Margaret's Par;
bet. the South River & the N. fotk of
Polecat; adj. Thomas Hamm; Thomas
Norment; Timothy Chandler; William
Terrell; & James Powell; 31 Oct. 1726,
p. 23. 40 Shill."
II,13,"ROBERT BABER, 170 acs. (N. L.),
King Wm. Co., in St. Margaret’s Par:
on N, side the middle fork of the Reedy
Swamp; adj. Mr, Inglish; & James
Cary’s line; 31 Oct. 1726, p. 24. 20
Shill,"
II,13,"SAME. 344 acs, (N. L.); same Co.,
& date; page 25. On S. side the N.
fork of the Reedy Sw; adj. James Cary;
Mr. Inglish; John Holloday’s line; &
the Glebe land. 35 Shill."
II,13,"CHARLES GOODALL, 215 acs. (N.
L.), King Wm. Co., in St, Margaret’s
Parish; on S. side of Long Cr; beg. at
his own home tract, in Mr. William
Fleming's line; adj, Keith’s line; corner
of John Burkit; & Houchins’ line, &c;
31 Oct. 1726, p. 25. 25 Shill."
II,13,"SAME. 363 acs. (N. L.); same Co.,
& date; page 26. On both sides the
main Ridge Road called Topping Castle
Road; adj. his own middle tract;
Houchins’ line; John Birkit; Robert
Chandler; & William Portew’s (2) line.
40 Shill."
II,13,"WILLIAM YARBROUGH, 250 acs.
(N. L.), King Wm. Co., in St. Margaret’s Par; on N. side the S. fork of
the South River, just below the Bridge,
& on E. side of the Main Road; on
Francis Durrat’s line; 31 Apr. 1726, p.
27. 25 Shill,"
II,13,"SAMUEL DAVIS, 400 acs. (N. L.),
King Wm, Co., in St. Margaret's Par;
on N. E. side of the N. br. of the
River Matt; beg. at John Ellis, in
Rogers’ line; by W. side of the Road
that goes to Eastiche’s (2?) Bridge; 31
Oct, 1726, p. 27. 40 Shill."
II,13,"CAPT. JAMES TERRY, GENT., 400
acs. (N. L.), King Wm. Co., in St.
John’s Par; on N. side the Northanna
(Riv.), & on N. side the North Creek,
on brs, of Beaverdam Cr; adj. his own;
John Holloday; Edward Green; Thomas
Tomason; Cornelius Keith, on N. side
of Long Cr; & John Hopkins’ line; 31
Oct, 1726, p. 28. 40 Shill,"
II,13,"JOHN HUBBARD, 234 acs. (N.
L.), King Wm. Co., in St. Margaret's
Par; on SW side of White’s Sw; on
Coleman's line, adj. land sd. Hubbard
lives on; 31 Oct. 1726, p. 29. 25 Shill."
II,13,"JOHN MAY, 980 acs., King Wm.
Co., in St. Margaret's Par; bet. Mattapony River & South River; adj. Mr.
John Baylor, formerly John Pigg’s land;
Mr. John Madison’s land on S, side of
Mattapony River by an Island; 2 Nov.
1726, p. 29. 666 acs. being % of patent
granted John May, Robert Farish & John
Pigg, 23 Dec, 1714; 314 acs. part being
surplusage within sd. May’s part. 35
Shill."
II,13,"ROBERT POWELL, of K. & Q. Co;
580 acs. (N. L.), King Wm. Co., in
St. Margaret's Par; on N. side the South
River, at mouth of the North Creek; 2
Nov. 1726, p. 30. 3 Lbs., Money,"
II,13,"THOMAS TOTTY, 500 acs, (N. L.),
Henrico Co; N. side of Appamattock
Riv., & on S. side of Swift Cr; beg. at
Capt. Thomas Jefferson; to S. side of
CAVALIERS AND PIONEERS
the head of Long Sw; down Ready
branch; to his own old survey; to a
great point of Rocks; 2 Nov. 1726, p.
31. 15 Shill., & Imp. of 7 pers: John
Royes, Katherine Johnson, Margaret
Jenkins, Margaret Smith, John Harris,
Thomas Smith, Jury Barker."
II,13,"WILLIAM SMITH, GENT., of King
Wm. Co; 380 acs. (N. L.), Spotsyl.
Co; beg. by a great passell of stones on
N. side the Northanna (Riv.) ; to mouth
of East North East River; 31 Oct. 1726,
p. 31."
II,13,"WALTER CHILDS, of King Wm.
Co; 350 acs, (N. L.), Pr. Geo. Co;
in the forke bet. Hatcher’s Run & the
Long Branch, adj, Mr. John Banister’s
line; 31 Oct. 1726, p. 32. 35 Shill."
II,13,"JAMES KEITH, of Warwick Co; 750
acs. (N. L.), Pr. Geo. Co; on both sides
of Stony Cr; adj. Thomas Hardiway;
& Stephen Evans’ line; 2 Nov. 1726,
p. 32. 3 Lbs., 15 Shill."
II,13,"COL. NICHOLAS MERIWETHER,
GENT., 400 acs. (N. L.), Hanover Co;
on both sides the South Anna (Riv.),
at a place called The Round About; adj.
Col. Meriwether’s line; 31 Oct, 1726,
p. 33. 40 Shill,"
II,13,"SAME. 400 acs. (N. L.); same Co;
& date; page 34. On both sides the
South Anna (Riv.); & on Arseforemost,.
(?) & Harris’ Creeks, 10 Shill."
II,13,"SAME. 400 acs. (N. L.); same Co.,
date, & page. On both sides the South
Anna; & on Camp & Hudson’s Creeks.
40 Shill."
II,13,"THOMAS ‘WEBSTER, of Henrico
Co; 800 acs. (N. L.), Pr. Geo. Co;
in the fork between Smack’s Cr. &
Appomattox River; 2 Nov. 1726, p, 35.
4 Lbs., Money."
II,13,"HENRY APPLEWHITE, GENT.,
320 acs. (N. L.), Is. of Wight Co; on
N. side of Nottoway Riv; between the
Cyprus & Cedar Swamps; 31 Oct. 1726,
p. 35. 30 Shill., & Imp. of: Edward
Matravers,"
II,13,"CAROLINE ANDERSON, 180 acs.
(N. L.), Is. of Wight Co; on S, side
of Maherin River; on the County line;
31 Oct. 1726, p. 36. Imp. of 4 pers:
Nathaniel Hindon, John Harley, George
Griffin, Thomas Weeks,"
II,13,"THOMAS JONES, 1237 acs. (O. &
N. L.), Pr. Geo. Co; on both sides of
the Great Cr., on N. side of Nottoway
River; adj, Capt, Peter Jones; & Thomas
Thrower’s line; 2 Nov. 1726, p. 37.
5 Lbs., Money. 247 acs. by former
patent."
II,13,"ROBERT WILLIAMS, 200 acs. (N.
L.), Pr. Geo. Co; bet. heads of brs. of
Buckskin Cr, & Wall's Run; 31 Oct.
1726, p. 37. 20 Shill."
II,13,"SIMON BUSSBY, 195 acs. (N. L.),
Pr, Geo. Co; on N, side of Hatcher’s
Run; beg. on Mr. John Banister’s line,
where William Mayes’ line joins; & on
Francis West's land; 31 Oct. 1726, p.
38. 20 Shill."
II,13,"PETER JONES, JUNR., of Pr. Geo.
Co; 974 acs. (N. L.), Brunswick Co;
‘on S, side of Nottoway Riv; bet. Robert
Lyons & William Davis; beg, at mouth
of Evans’ Run; 2 Nov. 1726, p. 38."
II,13,"JOHN CAIN, 225 acs. (N. L.), Is.
sof Wight Co; S. side of Nottoway
River; on E. side of Cock’s Swamp; 31
‘Oct. 1726, p. 39. 25 Shill."
II,13,"JAMES GUARDINER, 195 acs. (N.
L.), Is. of Wight Co; on N. side of
Nottoway ‘River; beg. in the County
Line ‘twixt Isle of Wight Co. & Nansemond Co; cor. of Robert Bryant's land;
31 Oct. 1726, p. 39. Imp. of 4 pers:
John Hix, Samuel Cook, Alexander
Younger, & Edward Coffey."
II,13,"EDMOND IRBY, 400 acs. (N, L.),
‘Pr, Geo. Co; on the Ridge bet. the head
‘brs. of Deep Creek & brs. of Little
Nottoway River; 31 Oct. 1726, p. 40.
-40 Shill."
II,13,"WILLIAM KINCHEN, 140 acs. (N.
L.), Is. of Wight Co; on N. side of
‘Maherin River; adj. John Guillum’s
land; 31 Oct. 1726, p. 40. 15 Shill."
II,13,"WILLIAM LEADBITER, 250 aes.
(N. L.), Pr. Geo. Co; on both sides.
of the W. br. of Orocock; adj. his own.
& land of John Lauthrop; 31 Oct, 1726.
p. 41. 25° Shill,"
II,13,"ISRAEL ROBERTSON, 100 acs. (N.
L.), Pr. Geo. Co; on N. side of Buckskin Cr; above his house; 31 Oct. 1726.
p. 41. 10 Shill,"
II,13,"EDWARD POWELL, 100 acs. (N.
L.), Pr. Geo. Co; on John Smith's
corner, on N. side of the Gr. Cattail
Run; 31 Oct. 1726, p. 42. 10 Shill."
II,13,"ROBERT WYNNE, of Surry Co;
400 acs. (N. L.), Pr. Geo. Co; on both
sides of the Miery Meadow of Beavor
Pond Cr; crossing Mount Branch; 31
Oct. 1726, p, 42. 40 Shill."
