grant_id,name_std,acreage,year,county_text,raw_entry
IV_15_5,Robert Bolling Of Pr. Geo. Co.,272.0,1732.0,,"ROBERT BOLLING of Pr. Geo.
Co., Gent., 9,272 acs. NL, OL in
sd Co. on the Edge of the bever
ponds of Nummisseen Cr., on
Tuckers Br. & Georges Br.; adj.
William Hamlin; 31 Jan 1732/33,
p.6. £3.810. 3,132 acs. part
formerly gtd. sd Robt. Bolling by
pat. 7 Mar 1727/28 & 3,481 acs.
part formerly gtd. Robt. Bolling 13
Oct 1727 [PB 13 p.216 & p.229]."
IV_15_6,Robert Bolling Of Pr. Geo. Co.,831.0,1732.0,,"ROBERT BOLLING of Pr. Geo.
Co., 3,831 acs. NL in sd Co., in
the Fork bet. little Cr. & main
Deep Cr.; on the Beverponds of the
Main Deep Cr.; 12 Feb 1732/33,
p.7. £19.85. 250 acs. part
formerly gtd. Richard Hudson, 200
acs. formerly gtd. to Hale Hudson
[PB 13 p.533], about 150 acs.
heretofore surveyed for William
Hudson."
IV_15_7,Elizabeth Batteley,500.0,1733.0,,"ELIZABETH BATTELEY, Wife
of Moseley Batteley, late the Relict
of Robert Taliaferro dec’d, 500
acs. NL in St. Mark’s Par. Spotsyl.
Co., in the first Forks of the
Rappardan Riv., in the head of a
Spring Br., adj. Michael Holt &
John Rucker; 28 Mar 1733, p.8.
£2.S810."
IV_15_8,Mary & Elizabeth Taliaferro,482.0,1733.0,,"MARY & ELIZABETH
TALIAFERRO, 1,482 acs. NL in
St. Mark’s Par. Spotsyl. Co. in the
first Forks of Rappardan Riv. adj.
Moseley Batteley, Michael Holt &
John Rucker; 28 Mar 1733, p.8.
£7.S10."
IV_15_14,Richard Carlisle Of Pr. Geo. Co.,300.0,1733.0,,"RICHARD CARLISLE of Pr. Geo.
Co., 300 acs. NL in sd Co., in the
Fork of Cherry Orchard Br., adj.
Nathaniel Tatums line that crosses
the East Fork thereof; 20 Jun 1733,
p.11. £1.810."
IV_15_18,Francis Raney Son Of Roger Raney Of Pr. Geo. Co.,200.0,1733.0,,"FRANCIS RANEY son of Roger
Raney of Pr. Geo. Co., 200 acs.
NL in sd Co. on middle Seller
Fork of Deep Cr., above
Westbrooks Survey; 20 Jun 1733,
p.13. £1."
IV_15_24,Edward Burchet Of Pr. Geo. Co.,200.0,1733.0,,"EDWARD BURCHET of Pr. Geo.
Co., 200 acs. NL in sd Co., on
lower side of Butterwood Sw.,
Gregorys Foard, by the Road, adj.
Bobbett; 20 Jun 1733, p.16. £1."
IV_15_28,John Parson Junr. Of Is. Of Wight Co.,350.0,1733.0,,"JOHN PARSON JUNR. of Is. of
Wight Co., 350 acs. NL in sd Co.
on N_ side Maherrin Riv., on
Goosepond Sw. adj. sd Parson’s
other L.; 20 Jun 1733, p.18.
£1.815."
IV_15_30,Paltas Blancumbaker,160.0,1733.0,,"PALTAS BLANCUMBAKER of
St. Mark’s Par. Spotsyl. Co., 160
acs. NL in sd Par. & Co., Great
Fork of the Rappardan Riv. adj.
Matthew & sd Paltas
Blancumbaker; 20 Jun 1733, p.19.
£1."
IV_15_31,John Sutar Of Is. Of Wight Co.,135.0,1733.0,,"JOHN SUTAR of Is. of Wight
Co., 135 acs. NL in sd Co., on N
side Maherrin Riv. adj. Sutar’s
other L, on the Co. line [S87.5°E];
20 Jun 1733, p.19. 15 Shill."
