token,count
ACS AUGUSTA,2324
ACS ALBEMARLE,1368
ACS BRUNSWICK,1247
ACS LUNENBURGH,1180
ACS AMELIA,826
ACS HALIFAX,720
ACS PR GEO,514
ACS BEDFORD,503
IN BEDFORD,413
IN PITTSYLVANIA,407
ACS AMHERST,389
ACS PITTSYLVANIA,382
ACS LUNENBURG,376
IN AUGUSTA,319
ACS IS OF WIGHT,315
IN HENRY,315
ACS ORANGE,252
ACS LOUISA,244
ACS BOTETOURT,224
ACS SOUTHAMPTON,207
ACS HANOVER,176
IN AMHERST,143
IN BOTETOURT,138
ACS SUSSEX,126
IN HALIFAX,126
ACS DINWIDDIE,119
N THAT PART OF ORANGE,94
ACS NL IN GOOCHLAND,91
ACS BUCKINGHAM,90
ACS MECKLENBURG,90
IN ROCKINGHAM,82
ACS NORFOLK,78
ACS PR EDWARD,75
IN ALBEMARLE,69
ACS HENRY,65
IN KENTUCKY,61
IN LINCOLN,58
IN BUCKINGHAM,54
ACS SPOTSYL,52
ACS CHESTERFIELD,52
TO BE ORANGE,50
ACS CUMBERLAND,50
IN FLUVANNA,47
IN ROCKBRIDGE,45
IN JEFFERSON,45
ACS CHARLOTTE,44
ACS KENTUCKY,43
PER PAR OF NANSEMOND,33
SWAMP LAND IN NORFOLK,32
IN LUNENBURG,31
MARKS PAR SPOTSYL,30
PITTSYLVANIA,25
ACS CAROLINE,24
IN PR EDWARD,24
IN MECKLENBURG,21
ACS NL IN HENRICO,20
ACS ISLE OF WIGHT,18
IN BRUNSWICK,17
T GEO PAR SPOTSYL,16
ACS FLUVANNA,16
ACS NL IN PR GEO,15
ACS ESSEX,15
UPPER PAR NANSEMOND,14
ACS GLOUCESTER,13
ACS KING  QUEEN,13
IN LOUISA,13
WAMP LAND IN PR ANNE,12
ACS HALLIFAX,11
IN BOTTETOURT,11
ARSH LAND IN PR ANNE,10
ACS FINCASTLE,10
IN THEN AUGUSTA,10
ACS NL IN HANOVER,9
ACS PR ANN,9
IN NORFOLK,9
PER PAR IN NANSEMOND,7
ACS NORTHAMPTON,7
ACS KING WM,7
R PARISH OF NANSEMOND,7
AUGUSTA,7
IN GREENBRIER,7
SETTLEMENT IN LINCOLN,7
ACS NL IN SPOTSYL,6
AMP LAND IN NANSEMOND,6
ACS NL IN NORF,5
ORANGE,5
ACS ELIZABETH,5
ACS JAMES,5
