grant_id,name_std,acreage,year,county_text,raw_entry,issues
IV_15_5,Robert Bolling Of Pr. Geo. Co.,272.0,1732.0,,"ROBERT BOLLING of Pr. Geo.
Co., Gent., 9,272 acs. NL, OL in
sd Co. on the Edge of the bever
ponds of Nummisseen Cr., on
Tuckers Br. & Georges Br.; adj.
William Hamlin; 31 Jan 1732/33,
p.6. £3.810. 3,132 acs. part
formerly gtd. sd Robt. Bolling by
pat. 7 Mar 1727/28 & 3,481 acs.
part formerly gtd. Robt. Bolling 13
Oct 1727 [PB 13 p.216 & p.229].",county_text
IV_15_6,Robert Bolling Of Pr. Geo. Co.,831.0,1732.0,,"ROBERT BOLLING of Pr. Geo.
Co., 3,831 acs. NL in sd Co., in
the Fork bet. little Cr. & main
Deep Cr.; on the Beverponds of the
Main Deep Cr.; 12 Feb 1732/33,
p.7. £19.85. 250 acs. part
formerly gtd. Richard Hudson, 200
acs. formerly gtd. to Hale Hudson
[PB 13 p.533], about 150 acs.
heretofore surveyed for William
Hudson.",county_text
IV_15_7,Elizabeth Batteley,500.0,1733.0,,"ELIZABETH BATTELEY, Wife
of Moseley Batteley, late the Relict
of Robert Taliaferro dec’d, 500
acs. NL in St. Mark’s Par. Spotsyl.
Co., in the first Forks of the
Rappardan Riv., in the head of a
Spring Br., adj. Michael Holt &
John Rucker; 28 Mar 1733, p.8.
£2.S810.",county_text
IV_15_8,Mary & Elizabeth Taliaferro,482.0,1733.0,,"MARY & ELIZABETH
TALIAFERRO, 1,482 acs. NL in
St. Mark’s Par. Spotsyl. Co. in the
first Forks of Rappardan Riv. adj.
Moseley Batteley, Michael Holt &
John Rucker; 28 Mar 1733, p.8.
£7.S10.",county_text
IV_15_14,Richard Carlisle Of Pr. Geo. Co.,300.0,1733.0,,"RICHARD CARLISLE of Pr. Geo.
Co., 300 acs. NL in sd Co., in the
Fork of Cherry Orchard Br., adj.
Nathaniel Tatums line that crosses
the East Fork thereof; 20 Jun 1733,
p.11. £1.810.",county_text
IV_15_18,Francis Raney Son Of Roger Raney Of Pr. Geo. Co.,200.0,1733.0,,"FRANCIS RANEY son of Roger
Raney of Pr. Geo. Co., 200 acs.
NL in sd Co. on middle Seller
Fork of Deep Cr., above
Westbrooks Survey; 20 Jun 1733,
p.13. £1.",county_text
IV_15_24,Edward Burchet Of Pr. Geo. Co.,200.0,1733.0,,"EDWARD BURCHET of Pr. Geo.
Co., 200 acs. NL in sd Co., on
lower side of Butterwood Sw.,
Gregorys Foard, by the Road, adj.
Bobbett; 20 Jun 1733, p.16. £1.",county_text
IV_15_28,John Parson Junr. Of Is. Of Wight Co.,350.0,1733.0,,"JOHN PARSON JUNR. of Is. of
Wight Co., 350 acs. NL in sd Co.
on N_ side Maherrin Riv., on
Goosepond Sw. adj. sd Parson’s
other L.; 20 Jun 1733, p.18.
£1.815.",county_text
IV_15_30,Paltas Blancumbaker,160.0,1733.0,,"PALTAS BLANCUMBAKER of
St. Mark’s Par. Spotsyl. Co., 160
acs. NL in sd Par. & Co., Great
Fork of the Rappardan Riv. adj.
Matthew & sd Paltas
Blancumbaker; 20 Jun 1733, p.19.
£1.",county_text
IV_15_31,John Sutar Of Is. Of Wight Co.,135.0,1733.0,,"JOHN SUTAR of Is. of Wight
Co., 135 acs. NL in sd Co., on N
side Maherrin Riv. adj. Sutar’s
other L, on the Co. line [S87.5°E];
20 Jun 1733, p.19. 15 Shill.",county_text
IV_15_33,Roger Williams Of Hanover Co.,400.0,1733.0,,"ROGER WILLIAMS of Hanover
Co., 400 acs. NL in sd Co. on
Stagg Cr.; adj. Thomas Lacey, &
Pate; 20 Jun 1733, p.20. £2.",county_text
IV_15_34,Nicholas Blancumbaker,300.0,1733.0,,"NICHOLAS BLANCUMBAKER
of St. Mark’s Par. Spotsyl. Co.,
300 acs. NL in sd Par. & Co., on
Great Fork of the Rappardan Riv.
on brs. of the Passing run & White
Oak run, adj. sd Blancumbaker &
John Trotter; 20 Jun 1733, p.20.
£1.S10.",county_text
IV_15_35,David Kincade,400.0,1733.0,,"DAVID KINCADE of St. Mark’s
Par. Spotsyl. Co., 400 acs. NL in
sd Par. & Co., in Great Fork of
Rappahannock Riv. on N side of
the head of the br. of Devil’s run;
20 Jun 1733, p.21. £2.",county_text
IV_15_36,John Haskew Of St. Geo. Par. Spotsyl. Co.,400.0,1733.0,,"JOHN HASKEW of St. Geo. Par.
Spotsyl. Co., 400 acs. in St. Marks
Par. in sd Co., in great Fork of
Rappahannock Riv., by blew
Cowslip run; adj. David Mitchel &
John Gordon; 20 Jun 1733, p.21.
£2.",county_text
IV_15_37,Edward Abbat,400.0,1733.0,,"EDWARD ABBAT, 400 acs. NL
in St. Marks Par. Spotsyl. Co., in
the Great Fork of Rappahannock
Riv. adj. Col. Alexander
Spotswood & William Russel; 20
Jun 1733, p.22. £2.",county_text
IV_15_38,Evan Vaughan Of St. Geo. Par. Spotsyl. Co.,70.0,1733.0,,"EVAN VAUGHAN of St. Geo.
Par. Spotsyl. Co., 70 acs. NL in sd
Par. & Co., in the Little Fork of
Rappahannock Riv. & N side the
North Fork of Goardvine Riv.; 20
Jun 1733, p.22. 10 Shill.",county_text
IV_15_39,Richard Tutt Of St. Geo. Par. Spotsyl. Co.,650.0,1733.0,,"RICHARD TUTT of St. Geo. Par.
Spotsyl. Co., 650 acs. NL in Par.
of St. Marks in sd Co.; in the
Great Fork of Rapp.A. Riv. on a
br. of Mountain Run; 20 Jun 1733,
p.23. £3.10.",county_text
IV_15_40,Charles Anderson Of Pr. Geo. Co.,400.0,1733.0,,"CHARLES ANDERSON of Pr.
Geo. Co., 400 acs. NL in sd Co.
on the heads of Wills run of Stoney
Cr. & joyning Robert Bollings
Sappone Tract; 20 Jun 1733, p.23.
£2.",county_text
IV_15_41,Richard Smith Of Pr. Geo. Co.,400.0,1733.0,,"RICHARD SMITH of Pr. Geo.
Co., 400 acs. NL in sd Co. on
both sides of the Seller Fork of
Deep Cr., by a Small Spring Br.
adj. Charles William’s lower line;
20 Jun 1733, p.24. £2.
JOSEPH TURNER of Is. of Wight
Co., 330 acs. NL in sd Co. on S
side of Maherrin Riv. on Fox br.,
adj. sd Turner & John Baptist
Curtis; 20 Jun 1733, p.24. £1.S15.",county_text
IV_15_42,Richard Butler Of Pr. Geo. Co.,120.0,1733.0,,"RICHARD BUTLER of Pr. Geo.
Co., 120 acs. NL in sd Co., on S
side Warwick Sw. by the Nottoway
Riv. Road, adj. his old line &
Richard Flewellin; 20 Jun 1733,
p-24. 15 Shill.",county_text
IV_15_45,John Jones Of Surry Co.,545.0,1733.0,,"JOHN JONES of Surry Co., 545
acs. NL in sd Co. on N side of
Nottoway Riv., W side of West
Prong of Rocky Br., adj. Jone’s
other L., 20 Jun 1733, p.27.
£2.S15.",county_text
IV_15_52,Ephriam Lisles Of Pr. Geo. Co.,204.0,1733.0,,"EPHRIAM LISLES of Pr. Geo.
Co., 204 acs. NL in sd Co. on
both sides Buckskin Cr., adj.
Abernathy & William Davis; 20
Jun 1733, p.31.",county_text
IV_15_56,Ambrose Joshua Smith Of Hanover Co.,400.0,1733.0,,"AMBROSE JOSHUA SMITH of
Hanover Co., 400 acs. NL in sd
Co. on both sides of the South or
Middle Fork of Contrary Riv. adj.
Benjamin Brown; 20 Jun 1733,
p.33. £2.",county_text
IV_15_58,John Blalock Of Hanover Co.,20.0,1733.0,,"JOHN BLALOCK of Hanover Co.,
1,020 acs. NL in sd Co. on both
sides the South Fork of Cubb Cr.;
adj. John Horn, Blalock, David
Harris, Marmaduke Kimbrow,
Christopher Clark, Thomas Foard
& Thomas Rice; 20 Jun 1733,
p.34. £5.85.",county_text
IV_15_59,Thomas Jarman (jerman,87.0,1733.0,,"THOMAS JARMAN
(Jerman/German) of Spotsyl., 87
acs. NL in Par. of St. Geo. in sd
Co. on both sides Plentiful Run;
adj. Thomas Allen, Capt. John
Camm & Mr Harry Beverley; 20
Jun 1733, p.35. 10 Shill.",county_text
