volume,book,raw_entry
VIII,A,"EVAN SHELBY, 2,000 acs. Kentucky
Co. on the Waters of Elkhorn Cr. a br. of
the Kentucky, adj. William Prestones
Land called the Cave Spring tract; 23 Oct
1779 in the 4th year of the Commonwealth In Witness whereof the sd
Thomas Jefferson Esqr. Governor of the
Commonwealth of Virginia hath hereunto
Set his Hand and Caused the seal of the
sd Commonwealth to be affixed at
Williamsburg, p.1. by Virtue and in
consideration of Military Service
performed by Evan Shelby according to
the King of Great Britains Proclamation
of 1763."
VIII,A,"JAMES TAYLOR Heir at Law to
GEORGE TAYLOR, 1,000 acs.
Kentucky Co. on the Waters of the Ohio,
Beginning on the bank of a Cr. being a
fork of Harrods Cr.; 23 Oct 1779, p.2. in
consideration of Military Service
performed by George Taylor according
to the term of the King of Great Britains
Proclamation of 1763 there is Gtd. to
James Taylor his Heir at Law the said
George Taylor being Decd."
VIII,A,"EDMUND TAYLOR ass'ee of
ANDREW WAGGONER Heir at Law of
the said THOMAS WAGGONER Decd.,
3,000 acs. Kentucky Co. on the South
fork of Elkhorn Cr. a br. of Ohio, adj. the
L. Surveyed for Slaugter & Jones; 23 Oct
1779, p.3. in consideration of Military
Service performed by Thomas Wagner a
Capt. in the late War between Great
Britain and France according to the
terms of the King of Great Britains
Proclamation of 1763."
VIII,A,"EDMUND TAYLOR Ass'ee of
ANDREW WAGGONER Heir at Law of
sd EDMUND WAGGONER Decd.,
1,000 acs. Kentucky Co. on the Head brs.
of Bargrass Cr. the Waters of the Ohio,
adj. the L. of John Ashby; 23 Oct 1779,
p.4. in consideration of Military Service
performed by Edmund Waggoner as a
Subaltern Officer in the Virginia Service
according to the terms of the King of
Great Britains Proclamation of 1763."
VIII,A,"WILLIAM ATKINS, 135 acs.
[Brunswick Co.] on the S side of the
three Creeks, adj. Parham & Adams; 26
Oct 1779, p.5. in consideration of 15
shill. sterl. paid by William Atkins into
the Treasury of the Commonwealth it
being the Ancient Composition Money.
[This land separates John Shearing's PB
15 p.412 from his PB 19 p.763 & is
North of Isaac Adams’s PB 34, p.326]"
VIII,A,"RICHARD HARTWELL, 17 acs.
Brunswick Co. on the S side Meherrin
Riv., adj. James Hinton & William Sims;
23 Oct 1779, p.6. A.C. of 5 shill. sterl."
VIII,A,"THOMAS BRANSCOMB, 200 acs.
{Brunswick Co.] on the Rocky run, along
the fourt Road; adj. Douglass,
Branscomb & Chapman; 26 Oct 1779,
p.7. A.C. of 20 Shill. Sterl. this Tract is
the Same that was formerly Surveyed for
Jacob Jones and Transfered by his son
Isaac (Jones) to this Thomas
Bransco[m]b."
VIII,A,"HARMON HARRISON Ass'ee of
WILLIAM NIAX who was ass'ee of
JOSEPH PRINCE who was ass'ee of
JAMES WALL, 316 acs. Brunswick Co.
on the N side of the fort road, adj. John
Eves; 26 Oct 1779, p.8. A.C. of 35 Shill.
sterl."
VIII,A,"SAMUEL CRAWFORD, 170 acs.
Botetourt Co. on the N Brs. of Back Cr.
being the Waters of James Riv., on a high
hill, adj. Stewarts Survey & Clerks line;
26 Oct 1779, p.9. A.C. of 20 Shill. Sterl."
VIII,A,"JOSEPH RAGSDALE, 430 acs.
Lunenburg Co. on both sides Chesnut
Cr., adj. Caldwell; 23 Oct 1779, p.10.
A.C. of 45 Shill. sterl."
VIII,A,"WILLIAM FURGUSON, 427 acs. Henry
Co. on Nicholas's Cr., crossing the North
fork of sd Cr., crossing a Bold br., adj.
Alley; 20 Oct 1779, p.11. A.C. of 45
Shill. sterl."
VIII,A,"JAMES MARTIN, 538 acs. Pittsylvania
Co. on the brs. of Chesnut Cr., crossing a
bold br., adj. sd James Martin; 20 Oct
1779, p.12. A.C. of 55 Shill. sterl."
VIII,A,"JOHN DOUGHTON, 198 acs. Henry Co.
on the brs. of Chesnut Cr.; adj. James
Calloway, his own line & Smith; 20 Oct
1779, p.13. A.C. of 20 Shill. sterl."
VIII,A,"SAMUEL EMMERSON, 400 acs.
Pittsylvania Co. on the East fork of
Bearskin Cr., along John Piggs road, adj.
Edward Hodges; 20 Oct 1779, p.13. A.C.
of 40 Shill. sterl."
VIII,A,"THOMAS PRENTY, 354 acs. Henry Co.
on the Waters of Snow Cr., on Keytons
Br., crossing the South fork of Guttery
Run, crossing the fork of Gullery Runs;
adj. Jeremiah Morrow, Lewis & Choise;
20 Oct 1779, p.14. A.C. of 35 Shill.
Sterl."
VIII,A,"JOHN HARPER (ass'ee of THOMAS
MOODY), 9 acs. Lunenburg Co. on the E
side of Stony Cr.; adj. Thomas Moore &
Henry Collises's line; 20 Oct 1779, p.15.
A.C. of 5 Shill. sterl. [The margin note
has Jno. Harper ass'ee of Jno. Moody]
[For Thomas Moore's, see PB 32 p.656 to
William Newsum]"
VIII,A,"PETER GRUHEART, 343 acs. Henry
Co. on the head of hacket run and
Rounding Mill br. [Pounding Mill Br.]
waters of Pigg Riv.; adj. James Turpin,
Springlan, James Calloway, Henry Jones
& James Rentfrow; 20 Oct 1779, p.16.
A.C. of 35 Shill. sterl."
VIII,A,"WATERS DUNN, 247 acs. Halifax Co.
on both sides of Leatherwood Cr.; 20 Oct
1779, p.17. A.C. of 25 Shill. Sterl.
JAMES STANDEFER SENR., 493 acs.
Henry Co. on Stony Cr., adj. William
Davis; 20 Oct 1779, p.18. A.C. of 50
Shill. Sterl."
VIII,A,"THOMAS BABER SENR., 400 acs.
Fluvanna Co. on the N side of the
Rivanna Riv. and on the Brs. of
Ballengers Cr.; adj. Thomas Baber Junr.,
Winston, & John Strange; 20 Oct 1779,
p.20. A.C. of 40 Shill. Sterl."
VIII,A,"JOHN WOODS, 424 acs. Pittsylvania
Co. on the Brs. of Greasy fork of Chesnut
Cr.; adj. Hugh Woods, Hanking, & James
Martin; 20 Oct 1779, p.21. A.C. of 45
Shill. Sterl."
VIII,A,"WILLIAM DUNNING, 244 acs.
Pittsylvania Co. on the brs. of Stinking
Riv.; adj. Thomas Farr or Farris, Earbyes
Line, Hughin [Hughes?], Barret & the
Wests line; 20 Oct 1779, p.23. A.C. of
25 Shill. Sterl."
VIII,A,"NATHAN THURMAN, 669 acs.
Pittsylvania Co. on both Sides the old
Womans Cr. of Stanton Riv., adj. John
Whealer; 20 Oct 1779, p.24. A.C. of
£3.S10 sterl."
VIII,A,"HENRY JONES, 288 acs. Henry Co. on
hatchett run and brs. of Pigg Riv., near
the Whistling hill, near the Road, adj. his
own line & Hill; 20 Oct 1779, p.25. A.C.
of 30 shill. Sterl."
VIII,A,"WILLIAM VASON, 601 acs.
Pittsylvania Co. on the Waters of Allens
Cr., adj. John Ballenger; 12 Oct 1779,
p.26. A.C. of £3 Sterl."
VIII,A,"HENRY HARDEN, 364 acs. Pittsylvania
Co. on the Draughts of Sweetnings fork
and Sandy Cr., Crossing Sweetens fork,
adj. Thomas Hardy & Certain; 26 Oct
1779, p.27. A.C. of 40 Shill. Sterl.
Thomas Jefferson Governor of the
Commonwealth of Virginia hath hereunto
Set his hand and Caused the Lesser seal
of the said Commonwealth to be affixed
at Williamsburg."
VIII,A,"ROBERT SPENCER ass'ee of the sd
JOSEPH CARTER, 75 acs. Brunswick
Co. on the three Creeks, up Kettlestick
run, down the Dividing br.; adj. Smith, &
Frederick Maclin; 26 Oct 1779, p.28. 10
Shill. sterl. paid into the late Receiver
Generals Office by Joseph Carter.
[Included in sd Robert Spencer's GB 3
p.213 dated 23 Jun 1786 which also
included 31 acs. of William Gower's 554
acs. in PB 19 p.975 and Richard Carter's
273 acs. in PB 13 p.440, regranted to
James Gee in PB 28 p.226]"
VIII,A,"WILLIAM HAMBLETT, 65 acs. Halifax
Co. on Draughts of Mirery Cr., near the
sd Hambletts Mills; adj. the sd Hambletts
line, Charles Witt & the old Line; 26 Oct
1779, p.29. A.C. of 10 Shill. Sterl."
VIII,A,"MARK HARDEN, 378 acs. Pittsylvania
Co. on the brs. of Shoco Cr., crossing a
br. of John run [Johns Run], Beginning
on the top of Banisters Mountain, adj.
Claybrook; 26 Oct 1779, p.30. A.C. of
40 Shill. sterl."
VIII,A,"THEODORICK CARTER, 2,472 acs.
Pittsylvania Co. on the Brs. of Sweatons
fork of Sandy Cr., Crossing Sweatings
fork; adj. King, Kerby, Henry Hardin,
Shepherd, Hardy, Campbell, Waller, &
Fennys order line; 26 Oct 1779, p.31.
A.C. of £12.S10 Sterl."
VIII,A,"JOHN ROBINSON, 78 acs. Pittsylvania
Co. now Henry Co. on the waters of Pigg
Riv., adj. Calloway; 26 Oct 1779, p.33.
A.C. of 10 Shil. sterl."
VIII,A,"THOMAS HALL, 163 acs. Pittsylvania
Co. on both sides of Pigg Riv., down the
Gundstone Br. [Grindstone Br.], adj. sd
Hills line; 26 Oct 1779, p.34. A.C. of 20
Shill. sterl."
VIII,A,"HENRY JONES, 340 acs. Pittsylvania
Co. on the Draughts of Pigg Riv., adj.
John Jones, Johns, Robert Jones, Isaac
Jones & Abraham Jones; 26 Oct 1779,
p.35. A.C. of 35 Shill. Sterl."
VIII,A,"PETER GILLUM, 112 acs. Henry Co. on
black water Riv., at a Meadow, to a Gray
Rock, adj. Chirtwood; 26 Oct 1779, p.36.
A.C. of 15 Shill. Sterl."
VIII,A,"JOHN FREDERICK MILLER, 305 acs.
Pittsylvania Co. on both Sides of Stones
Cr.; 26 Oct 1779, p.37. A.C. of £1.815
Sterl."
VIII,A,"FREDERICK FARMER, 349 acs.
Halifax Co. on the Brs. of Berches Cr.,
down a bold br.; adj. Champness Terry,
John Nobb, Edwards, & Thos. Wilson;
26 Oct 1779, p.38. A.C. of £1.S15. Sterl."
VIII,A,"WILLIAM SUMMERS, 357 acs.
Pittsylvania Co. on the Brs. of Sandy Cr;
adj. James Walker, Donalson & Lawless;
26 Oct 1779, p.39. A.C. of 40 Shill.
Sterl."
VIII,A,"THOMAS DODSON, 210 acs. Halifax
Co. on the brs. of Birches Cr.; adj. Philip
Going, Thomas Wilson & Jacob Midriff;
26 Oct 1779, p.40. A.C. of 25 Shill.
Sterl."
VIII,A,"WILLIAM COTTRILL, 369 acs.
Pittsylvania Co. on Fall Cr., adj. Fowless;
26 Oct 1779, p.41. A.C. of £2 sterl."
VIII,A,"AMBROSE NELSON, 136 acs.
Pittsylvania Co. on both sides the main
fall Cr., on a naked ridge; adj. John
Donalson, Freeman, & John Kirby; 26
Oct 1779, p.42. A.C. of 15 Shill. Sterl."
VIII,A,"NICHOLAS FORMBY, 290 acs. Halifax
Co. on the Brs. of Birches Cr., near the
little Cr, up the Ivry Br; adj. John
Ecoles, Hickey, Champness Terry &
Philip Gowing; 26 Oct 1779, p.43. A.C.
of £1.S10 sterl."
VIII,A,"HENRY HARDEN, 363 acs. Pittsylvania
Co. on the brs. of Sandy Cr., crossing the
head brs. of Peters br.; adj. Mack Harden,
Sweeting, Mark Harden, Shepherd, &
John Cerby; 26 Oct 1779, p.44. A.C. of
40 Shill sterl."
VIII,A,"WILLIAM TAYLOR Ass'ee of NEAL
ONEAL, 323 acs. Pittsylvania Co. on
bull Run of Horn Pasture Cr., adj.
Randolph; 20 Oct 1779, p.45. A.C. of 35
shill."
VIII,A,"ROBERT MAVILY, 110 acs. Henry Co.
on little Otter Cr, on a Ridge; adj.
Christopher Choat & Ragland; 20 Oct
1779, p.46. A.C. of 15 Shill. Sterl."
VIII,A,"ABRAHAM HITE Ass'ee of PETER
STEINBERGEN, 2,000 acs. Kentucky
Co. on Hickmans Cr. a br. of Kentucky
riv., adj. a Survey Made for James
Douglass; 28 Oct 1779, p.47. in
consideration of Military Service
Performed by Peter Steinbergen
[Slunbergen?] a Lieut. in the late War
between Great Britain and France
according to the King of Great Britains
Proclamation of 1763."
