volume,book,raw_entry
VIII,B,"JACOB CHANEY, 354 acs. Pittsylvania
Co. on burches Cr., down Cuthe Cr.,
crossing buck horn br., adj. Parish &
Owen; 26 Oct 1779 in the 4th year of the
Commonwealth, Thomas Jefferson Esq.
Governor of the Commonwealth of
Virginia Hath hereunto Set his hand and
Caused the Seal of the sd Commonwealth to be Affixd. at Williamsburg, p.1.
A.C. of 35 Shill. Sterl. [The number
56879 is at the top and bottom of this
grant]"
VIII,B,"THOMAS & SWENKFIELD HILL,
Executores & legatees of ROBT. HILL
Dec'd, 468 acs. Henry Co. on the
meadow br., crossing a Spring br.; adj.
Hill, the Grassy Hill Company [their
line], Easley or Earley, Callaway, &
Swenkfield Hill; 8 Nov 1779, p.1. 50
Shill. Sterl."
VIII,B,"JOSEPH AKIN, 154 acs. Hallifax Co. on
the brs. of burches Cr.; adj. John Noble,
Edmundsen, Hickey & Carter; 8 Nov.
1779, p.2. 15 Shill. Sterl."
VIII,B,"HENRY JONES, 152 acs. Pittsylvania
Co. on the brs. of Pigg Riv., crossing
[Inak] run; adj. James Rentfroe, Isaac
Jones & Jacob Brillemon; 8 Nov 1779,
p.2. 15 Shill. Sterl."
VIII,B,"THOMAS HUTCHINGS & THOMAS
JONES, [97] acs. Pittsylvania Co. on the
waters of Pigg riv., in the fork of br., adj.
Isaac Jones; 8 Nov 1779, p.3. A.C. of 10
Shill. Sterl."
VIII,B,"DANIEL SPANGLER Ass'ee of PETER
VERDEMAN, 30 acs. in Henry Co.
Crossing Pigg Riv., adj. his own line, to
a Mahoggany [tree]; 8 Nov 1779, p.3. 5
Shill. Sterl."
VIII,B,"WILLIAM MAVITY Ass'ee of
WILLIAM MCcVIATY, 193 acs. Henry
Co. on the South fork of Pigg riv., adj.
Thomas Hutchings; 8 Nov 1779, p.4.
A.C. of 20 Shill. Sterl."
VIII,B,"JOHN HUFF, 82 acs. Henry Co. on the
South fork of Pigg riv.; adj. James
Rentroe, Huff & Thomas Jones; 8 Nov
1779, p.4. A.C. of 10 Shill. Sterl."
VIII,B,"THOMAS HAIL, 50 acs. Pittsylvania
Co. on Pigg riv.; adj. Verdeman, Jones &
Vardeman; 10 Nov 1779, p.5. A.C. of 5
Shill. Sterl."
VIII,B,"DARBY RION, 54 acs. Pittsylvania Co.
on the Waters of Pigg Riv.; adj. his Old
line, Turpin & Jones; 10 Nov 1779, p.5.
A.C. of 5 Shill. Sterl."
