volume,book,raw_entry
VIII,C,"BFS IES
SSS,
Grant BooK C
1 Sep 1780 to 1 Mar 1781"
VIII,C,"THOMAS THORNHILL, 404 acs. by
Survey 20 Apr 1780 in Buckingham Co.
on the small brs. of Fluvanna Riv., at
Bradleys road, crossing a br. and
Jeremiah Whitneys road, in a bottom;
adj. Cabell, Thornhills old Line on the
edge of the low Grounds, Colo. William
Kennon dec'd & George Hilton; 1 Sep
1780, in the 5th year of the Commonwealth, Thomas Jefferson Esquire
Governor of the Commonwealth of
Virginia hath hereunto Sett his hand and
caused the lesser seal of the said
Commonwealth to be affixed at
Richmond, p.1. A.C. of 40 Shill."
VIII,C,"WILLIAM ROANE 470 acs. by an
Inclusive Survey made 13 Jun 1778 in
Essex Co., near Warings Mill house,
crossing the county road, by a Spring, in
the Sw. at the head of the Mill pond; adj.
Smith, Waring & Tandy; 19 Oct 1780,
p.2. in consideration of the Sum of
£8,885 of current money of Virginia paid
unto William Young, Gentleman
Escheator for Essex Co. by William
Roane Esquire. /ately the property of
Laurence MacDuff a British Subject and
was sold by the sd William Young,
Escheator unto the sd William Roane
agreeable to 2 acts of Assembly passed in
the year 1779 the one Entitled an act
cornerning Escheats and forfeitures from
British Subjects the other Entitled an act
concerning Escheators."
VIII,C,"JOHN ALLOWAY STRANGE, 250 acs.
by Survey 27 Jan 1780 in Fluvanna Co.
on the Rivanna riv. Including an Island in
the run; 19 Oct 1780, p.3. in consideration of the Sum of £600 current money
of Virginia paid by John Allaway Strange
to Thomas Napier Gent. Escheator for
Fluvanna Co. lateley the property of
William Ainge a British Subject and was
sold by the sd Thomas Napier, Escheator
unto the sd John Alloway Strange
agreable to 2 acts of General Assembly
passed in 1779 the one Entitled an act
concerning Escheats and forfeitures from
British Subjects the other Entitled an Act
concerning Escheators."
VIII,C,"DANIEL ALLEGRE, ass'ee of
WILLIAM BARTON, by Survey made
23 May 1777, 325% acs. Albemarle Co.
on the N Side of the Rivanna riv., to the
three Notched road, to Valentine Woods
Rollings road, to the long br., to Adams's
road, to Burges br., adj. Patrick Morton
& Giles Allegre; 1 Sep 1780, p.4. A.C.
of 35 Shill. Sterl. [This land was also
granted to William Barton in GB G p.125
as 325% acs. dated 1 Sep 1782]"
VIII,C,"DANIEL MITCHEL, by Survey made 1
Dec 1756, 395 acs. Hallifax Co. on the
brs. of Childres cr., up Snake horn br.;
adj. John Treble, Benjamin Hubbard &
Charles Bostick; 1 Sep 1780, p.5. A.C.
of 40 Shill. ster]."
VIII,C,"NOA HARBER, 240 acs. by Survey 7
May 1772 in Halifax Co. on the draughts
of Berches cr.; adj. Edmunds, Farmer,
Cary, Jones & Narber; 1 Feb 1781, p.6.
A.C. of 25 Shill. Sterl."
VIII,C,"JOHN ALLOWAY STRANGE, 400 acs.
by Survey made 29 Jan 1780 in Fluvanna
Co. on both sides of Ballingers cr.; 19
Oct 1780, p.7. £509 current Money of
Virginia paid to Thomas Napier Gent.
Escheator for Fluvanna Co. ... being
lately the property of William Ainge a
British Subject and was sold by the sd
Thomas Napier Escheator as aforesaid
unto the sd John Alloway Strange
agreable to 2 acts of Assembly passed in
the year 1779 the one Entittled as Act
concerning Escheats and forfeitures from
British Subjects the other Entittled an act
Concerning Escheators."
VIII,C,"EDWARD HATCHER, 659 acs. by
Survey 17 Mar 1774 in Bedford Co. on
Stanton riv., on the road; adj. Greer,
Randolph, Forgason & their old lines; 1
Sep 1780, p.8. A.C. of £3.S10 Sterl.
including two old Surveys one of 251
acs. on the S side the sd riv. and was Gtd.
by pat. to William Haynes and one of 125
acs. on the N side of sd riv. and was Gtd.
by Pat. to George Walton the property of
all which has since become vested in the
sd Hatcher."
VIII,C,"JOHN MERRITT, 696 acs. by Survey 3
Mar 1773 in Bedford Co. on north brs. of
wreck Island Cr., at a path, at the edge of
a meadow; adj. Hunter, David Martin,
Rogers, Whitney, & Alexander Steel; 1
Sep 1780, p.10. A.C. of £3.S10. Sterl. ...
by virtue of 2 Entries in his own name for
546 acs. and with 150 acs. assigned him
by William Page and Surveyed 3 Dec
1767 makes the above mentioned
quantity."
