volume,book,raw_entry
VIII,D2,"THOMAS CHOWNING, 200 acs. by
Survey 20 Mar 1778 in Henry Co. on the
Brs. of Turkey Cock Cr. of Smiths Riv.,
crossing a Large Br. of Turkey Cock, adj.
James Bowling & Webb; | Mar 1781,
p.623. A.C. of £1 Sterl."
VIII,D2,"OWEN WEST, 45 acs. by Survey 14 Jun
1780 in Pittsylvania Co. on the brs. of
Streight Stone Cr, on the road; adj.
Thomas Dillard, Hubbards old Line &
Edward King; 1 Mar 1781, p.624. A.C.
of 5 Shill. Sterl."
VIII,D2,"HENRY HALL, 146 acs. by Survey 24
Apr 1780 in Pittsylvania Co. on the brs.
of Cherry stone cr., adj. Thomas Hardy;
1 Mar 1781, p.624. A.C. of 15 Shill.
Sterl."
VIII,D2,"JOHN CALFERRY, 223 acs. by Survey
14 Dec 1754 in Bedford Co. formerly
Albemarle on both sides of Beaver Cr. on
the S side of the Fluvanna Riv., adj. John
Harey [Harvey]; 1 Mar 1781, p.625.
A.C. of 25 Shill. Sterl."
VIII,D2,"LEWIS CIRCLE, 300 acs. by Survey 3
Jun 1774 in Augusta Co. on the E side of
Smiths cr, on a ridge, adj. Andrew
Huland & John Philips; 1 Mar 1781,
p.626. A.C. of 30 Shill. Sterl."
VIII,D2,"DAVID RODES/ROADS, 66 acs. by
Survey 19 Mar 1773 in Albemarle Co. on
the side of Jameson's Mountain and
waters of Rockey Cr., near a dry br., on
the Top of a mountain, adj. William
Crafford; 1 Mar 1781, p.628. A.C. of 10
Shill. Sterl."
VIII,D2,"EDMUND WINSTON, 250 acs. by
Survey 13 Feb 1773 in Bedford Co. on
the S Sides of Fluvanna riv., on the top of
a high ridge, down Joe's br., adj. his own
old Lines; 1 Mar 1781, p.629. A.C. of 25
Shill. Sterl."
VIII,D2,"JOHN THOMAS, 126 acs. by Survey 6
Apr 1779 in Pittsylvania Co. on the Brs.
of fall cr.; adj. Smith, the order Line &
John Walton; 1 Mar 1781, p.630. A.C. of
15 Shill. Sterl."
VIII,D2,"JOSIAS COFFER, 94 acs. by Survey 10
Apr 1771 in Bedford Co. on the brs. of
Elk cr.; adj. Joshua Earley, Jocob Early
& his own Line; 1 Mar 1781, p.631.
A.C. of 10 Shill. Sterl."
VIII,D2,"JAMES MATTHEWS, 110 acs. by
Survey 19 Mar 1771 in Buckingham Co.
on the head of Davids Cr., adj. William
Still; 1 Mar 1781, p.631. A.C. of 15
Shill. Sterl."
VIII,D2,"JOHN WELSH, 1 Lott in Spotsylvania
Co. in the town of Fredericksburg and
Numbered in the plan of sd town 257 and
bounded by Caroline and Paussia
[Prussia] Streets and by Lotts numbered
267, 256 and 266; 10 Apr 1781, p.633.
in Consideration of the Sum of £10,100
Current Money of Virginia unto Charles
Washington Escheator for Spotsylvania
Co. which sd lott was lately the property
of William Wims a Subject of Great
Britain and was Sold by the sd Charles
Washington escheator as aforesd unto
the sd John Welsh agreable to two Acts of
Assembly passed in the year 1779 the one
entittled an Act concerning escheats and
forefeitures from British Subjects the
other entittled An Act concerning
Escheators."
VIII,D2,"JOSEPH HAWKINS Ass'ee of AUSTIN
BURNLEY who was Ass'ee of JAMES
HILL who was Ass'ee of THOMAS
LEWIS, 191 acs. by Survey 18 Apr 1771
in Botetourt Co. on the brs. of Glade Cr.
being the waters of Roanoke, adj. Baptist
Armstrong; 1 Mar 1781, p.634. A.C. of
£1 Sterl."
VIII,D2,"WILLIAM TABLER & CHRISTIAN
VINEYARD Ass'ee of JOHN
MacADOW/McADOW, 115 acs. by
Survey 2 May 1774 in Botetourt Co. on
the waters of Wolf cr. Joining the Survey
the sd McAdow lives on, on a ridge; 10
Apr 1781, p.635. A.C. of 15 Shill. Sterl."
VIII,D2,"JOHN WILSON, 174 acs. by Survey 2
Feb 1769 in Henry Co. formerly
Pittsylvania on Smiths Riv.; adj. his old
line, Lomax & Web; 1 Mar 1781, p.636.
A.C. of £1 Sterl."
VIII,D2,"THOMAS STILL heir at Law of
WILLIAM STILL who was Ass'ee of
JOSEPH HAMMON, 1,000 acs. by
Survey 2 Apr 1754 in Albemarle Co. on
both sides of Davids and fish pond
creeks, Beginning on the N side of Bairds
road, adj. Philip Mayo & his own line; 1
Mar 1781, p.637. A.C. of £5 Sterl. [This
land is near the Appamattox Ridge, see
sd Mayo's PB 31 p.653 dated 10 Sep
1755]"
VIII,D2,"JAMES DILLARD, 400 acs. by Survey
17 Mar 1763 in Amherst Co. on both
sides of Porrige cr.; adj. his own line,
James Christian, Edward Cottrell &
Joseph Mayo; 1 Mar 1781, p.638. A.C.
of £2 Sterl."
VIII,D2,"MILES JENNINGS, 453 acs. by Survey
17 May 1780 in Henry Co. on Mayo
Riv., crossing a road; adj. his own line,
Daniel Goodsby, William Hayes line,
Lambeth Dotson, Bradley Smith & Jesse
Atkeison; 1 Mar 1781, p.639. A.C. of 45
Shill. Sterl."
VIII,D2,"ABEL GRIFFITH ass'ee of JAMES
McCOY, 160 acs. by Survey 15 Jun 1762
in Augusta Co. on the N side of Mossey
cr. and Joining the sd James McCoys
land, by a path, near a road, also adj.
Minters land; 1 Mar 1781, p.640. A.C. of
£1 Sterl."
VIII,D2,"WILLIAM SOWELL/SOWEL, 96% acs.
by Survey 1 Apr 1775 in Albemarle Co.
on the N Side the Fluvanna Riv. on the
little Mountains in the south Garden and
ona br. of South Hardware, adj. Jeremiah
White & Charles Hudson; 1 Mar 1781,
p-641. A.C. of 10 Shill. Sterl."
VIII,D2,"WALTER CROW, 216 acs. by Survey 15
Apr 1780 in Rockingham Co. on the
heads of a draft of Lenvills cr. on the E
side of the land he lives on, Beginning in
a meadow, crossing a draft; adj. the
Patent Land, Leonard Herrins Survey,
Jerry Raggin, sd Ragins line & Eversole;
near a Corner of Fraziers land & near a
Corner of Curries land; 1 Mar 1781,
p.643. A.C. of 25 Shill. Sterl."
