volume,book,raw_entry
VIII,D,"JOHN ROBERTSON/ROBINSON, 69
acs. by Survey 7 Nov 1767 in Botetourt
Co. on a small br. of the North fork of
Roanoak, along the ridge, adj. William
Inglish/Inglis; 20 Jul 1780 in the 5th year
of the Commonwealth, Thomas Jefferson
Esq. Governor, p.1. A.C. of 10 Shill."
VIII,D,"THOMAS LOMAX, Esq., 485 acs. By
Survey 29 Sep 1778 in Essex Co.
Consisting of Water, land and Marsh on
port Tobacco and Mediels Bay [or
Meditts Bay] on Rappahannock Riv.,
through a marsh, up and along the sd
River Marsh and shore to a valley
Commonly Known and called by the
appellation of Gravelly walk, along the
edge of the sunken Ground, adj. Thomas
Lunsfords pat.; 20 Jul 1780, p.1. A.C. of
£2.810."
VIII,D,"WILLIAM THOMPSON & WILLIAM
PRESTON Exors. of JAMES PATTON
Dec'd, 200 acs. by Survey 9 Nov 1773 in
Montgomery Co. on Toms cr., by a path,
adj. John Adams & Jacob Lingole, to a
white Oak in the naked Land; 20 Jul
1780, p.2. A.C. of 20 Shill. Sterl.
whereas by one pat. under the seal of the
Commonwealth and dominion of
Virginia bearing date 20 Jun 1753 gtd.
James Paton 7,500 acs. on the waters of
Woods Riv. then in Augusta Co. [PB 32
p.178] now in Montgomery Co. and
whereas Michael Kinder in whom the
right and title of 200 acs. part has since
become vested hath failed to pay
quitrents as to the sd 200 acs. and
William Thompson and William Preston
Exors. of James Patton Dec'd made
humble suit to our late Lieutenant
Governor and Commander in Chief and
hath obtained a g. for the same."
VIII,D,"THOMAS WALKER, 400 acs. Louisa
Co. & Albemarle Co. on Great Cr. and
the brs. thereof, adj. Benjamin Johnson &
Timothy Dolton; 20 Jul 1780, p.4. A.C.
of 40 Shill. Sterl. whereas by pat. 5 Jul
1751 gtd. Nicholas Oliver in Louisa Co.
[PB 29 p.447] and whereas the sd
Nicholas Oliver hath failed to pay
quitrents and Walker Taliaferro have
made humble suit to our Late Governor
and Commander in Chief of our Colony
and Dominion and hath obtained a G. for
the same the right and title whereof he
hath assigned to Thomas Walker Gent.
[Near Machunk Cr., see adj. Hanover Co.
PB 14 p.477 to Timothy Dalton and PB
16 p.21 to Benjamin Johnson]"
VIII,D,"THOMAS FLOWER, 327 acs. by Survey
30 Nov 1772 in Henry Co. Formerly
Pittsylvania on the head of Runnett bagg
a br. of Ervin Riv., Beginning on the Top
of the main Mountain, to a Cu[cu]mber
Tree; 20 Jul 1780, p.5. A.C. of 35 Shill.
Sterl."
VIII,D,"JAMES SPEED, 397 acs. by Survey 23
Sep 1772 in Charlotte Co. on the brs. of
Twitteys and the Horse pen Creeks; adj.
Cheatham, Bedford & his own line; 20
Jul 1780, p.6. A.C. of 40 Shill. Sterl.
[For Cheatham's see PB 33 p.5 to John
Hall, for his own see PB 37 p.43 to John
Sansom]"
VIII,D,"JAMES GREEN, 354 acs. by Survey
made for Joshua Hix of whom he
recover'd it by Caveat before the late
Governour and Council bearing date 27th
day of [blank] 1747 in Lunenburgh Co.
on the head of the little cr. above stoney
cr., on a path; adj. Thomas Knight, James
Mize, John Wright, Solomon Wright,
Walton, & John Parker; 20 Jul 1780, p.7.
A.C. of 35 Shill. Sterl."
VIII,D,"THOMAS FLOWER, 930 acs. by Survey
15 Nov 1772 in Henry Co. formerly
Pittsylvania on both Sides of Flat Cr. of
Smith Riv., up the South fork, crossing
the upper Rich Run, on a Spur of Bull
mountain, down Rich Run, adj.
Butterworth & Ward; 20 Jul 1780, p.8.
A.C. of £4.15 Sterl."
VIII,D,"JOHN CANEFAX, 254 acs. by Survey 8
Nov 1770 in Bedford Co. on the N Side
of Staunton Riv., to a ledge of Rocks
near the lower end of a Small Island, up
Dennys Road; adj. his own, John Brown
& James Talbot; 20 Jul 1780, p.10. A.C.
of 25 Shill. Sterl."
VIII,D,"THOMAS ARTHER, 824 acs. by Survey
20 Nov 1776 in Bedford Co. on the S brs.
of Magotty Cr., Beginning at a glade, on
the Road; adj. Grimes, Polley, & Robert
Mead; 20 Jul 1780, p.11. A.C. of £4.85
Sterl."
