volume,book,raw_entry
VIII,E,"CHARLES LOVELL/LOVEL, 211 acs.
Pr. Edward Co. on the lower side of
Rough Cr., adj. Black & Fear; 1 May
1775 in the 15th year of our Reign,
George the third, John Earl of Dunmore
our Lieutenant and Governor General of
our sd Colony and Dominion at
Williamsburg Under the seal of our
aforesd Colony, p.1. 25 Shill."
VIII,E,"BENJAMIN BRETT, 139 acs.
Brunswick Co. adj. William Johnson &
Randle; 1 May 1775, p.2. 15 Shill.
[Between Quarrel Sw. & Rockey Run]"
VIII,E,"CHARLES CLAY, 340 acs. Halifax Co.
on Sandy Cr. of Dan Riv.; adj. Silvester,
Billings, Falling & Little; 1 May 1775,
p.3. 35 Shill."
VIII,E,"THOMAS SCOTT JUNR., 393 acs.
Pittsylvania Co. on both sides of the East
fork of Cascade Cr., adj. Clay & Russell;
1 May 1775, p.4 £2."
VIII,E,"JOHN COX, 400 acs. Pittsylvania Co.
on the Glady fork of Sandy Riv., to
Pointers in a naked ruff, adj. Gray &
Yarrington; 1 May 1775, p.4. £2."
VIII,E,"JOHN ARMOUR FENDLEY, 215 acs.
Bedford Co. on the head Brs. of the
North fork of Beaver dam Cr., adj.
Walton; 1 May 1775, p.5. £1.85."
VIII,E,"JOHN FISHER, 360 acs. Halifax Co. on
the head of Peters Cr., crossing Boyd's
Road and Irby's Road, adj. Comer; 1
May 1775, p.6. £2."
VIII,E,"THOMAS DOSWELL, 78 acs. Amherst
Co. on the fork mountain of Tye riv.; 1
May 1775, p.7. £1."
VIII,E,"WILLIAM SPIERS, 148 acs. Albemarle
Co. on the head of Moores Cr; 1 May
1775, p.7. 15 Shill."
VIII,E,"WILLIAM WHITEHEAD, 129 acs.
Southampton Co. up the Run of the
Little sw.; adj. Anne Brookes [her
Lines], Edmund Day, the sd Whitehead,
Samuel Atkinson, Sarah Crocker [her
Lines] & John Barrow; 1 May 1775, p.8.
15 Shill. [N of Meherrin Riv.]"
VIII,E,"THOMAS HOPE, 315 acs. Halifax Co.
on Difficult Cr., crossing the new Road;
adj. Morefield, Robertson, Hunt,
Nowlin, Wade, Wades Mill tract; 1 May
1775, p.9. £1.S15."
VIII,E,"ISHAM REAVIS, 181 acs. Brunswick
Co. adj. Ledbeter & Jones; 1 May 1775,
p.10. £1."
VIII,E,"ELEAZER CLAY, 123 acs. Chesterfield
Co. adj. Tiller; 1 May 1775, p.11. 15
Shill."
VIII,E,"THOMAS DOSWELL, 204 acs. Amherst Co. on the N brs. of the South fork
of Tye riv., to Pointers of Ivy in a br. adj.
his own Lines; 1 May 1775, p.11. £1."
VIII,E,"FRANCIS IRBY, 400 acs. Pittsylvania
Co. on Fly blow Cr., adj. Echoles &
Anderson; 1 May 1775, p.12. £2."
VIII,E,"JOSHUA ABSTEN, 260 acs.
Pittsylvania Co. on the waters of
Sycamore Cr., adj. sd Absten & Holland;
1 May 1775, p.13. £1.S10."
VIII,E,"JABEZ NORTHINGTON, 224 acs.
Mecklenburg Co. adj. the Lands of John
Brown Junr., Thomas Nance, Fowler,
Floid & John Brown Senr.; 1 May 1775,
p.14. £1.85. [S of Avents Cr.]"
VIII,E,"WILLIAM LONDON, 174 acs. Halifax
Co. on the Brs. of Runaway Cr., adj.
Henry Cross & Robert Davis; 1 May
1775, p15. £2."
VIII,E,"THOMAS HUGART, 95 acs. Augusta
Co. on Wilson's mill Cr. a br. of
Jacksons Riv.; 1 May 1775, p.15. 10
Shill."
VIII,E,"WILLIAM ALEXANDER, 75 acs.
Augusta Co. crossing Irish Cr.,
Beginning by a spring on the Cr., adj.
Joseph Alexander; 1 May 1775, p.16. 10
Shill."
VIII,E,"ROBERT HILL, 125 acs. Augusta Co.
on the dry Riv., Beg. at the foot of a
bank, on the Edge of a Bottom thence
along the hillside, adj. Oneal's Survey; 1
May 1775, p.17. 15 Shill."
VIII,E,"JOHN FARRAR, 95 acs. Mecklenburg
Co. on the brs. of Allens Cr.; adj. Lundy,
Mallet, Hawkins & Blackwelder; 1 May
1775, p.18. 10 Shill."
VIII,E,"JOHN TUGGLE, 82 acs. Amherst Co.
on the N brs. of Ruckers run; adj. his
own lines, John Mountgomery, John
Loving Junr., Abraham Seay Junr. &
Lunsford Lomax; 1 May 1775, p.18. 10
Shill."
VIII,E,"THOMAS LEWELLIN, 62 acs. Sussex
Co. on the S side of Nottoway Riv., on
the County Line which divides Surry
from Brunswick [N12°E, now dividing
Sussex Co. from Greensville Co.]; adj.
Isaac Oliver, Colo. Richard Cock &
Lawrence House dec'd; 1 May 1775,
p.19. 10 Shill."
VIII,E,"WILLIAM SIKES, 31% acs. Norfolk Co.
in the Green sea; 1 May 1775, p.20. 5
Shill."
VIII,E,"JOHN TAYLOE CORBIN, 26 acs. King
& Queen Co. on the Dragon sw.,
Beginning on maple sw. in the
Lowgrounds of the Dragon sw., up the
Dragon to the Causeway at the Bridge
and along the same to the high Land,
down and along the Lowgrounds; 1 May
1775, p.21. 5 Shill."
VIII,E,"ELY GRIFFIN, 60 acs. Nansemond Co.
adj. Kedah Raby & James Raby; 1 May
1775, p.22. 10 Shill."
VIII,E,"RICHARD LAMKIN, 244 acs. Halifax
Co. on the brs. of Difficult Cr. adj.
Wilson Mattox & William McCrery; 1
May 1775, p.22. £1.85."
VIII,E,"THOMAS DICKSON, 400 acs. Halifax
Co. on both sides of sandy Cr. of
Banister Riv., adj. Robert Sweeting &
Lane; 1 May 1775, p.23. £2."
VIII,E,"RICHARD NAPIER, 166 acs. Albemarle
Co. on the S Brs. of the Rivanna Riv.,
down the Horse shoe br.; adj. Patrick
Napier, George Dudley, Creasy, & Bouth
Napier; 1 May 1775, p.24. £1."
VIII,E,"JOSEPH BILLUPS, 450 acs. Lunenburg
Co. on the head brs. of dry Cr.; adj.
Johnson, Oliver, Boulton, Billup, Hardy
& Flake; 1 May 1775, p.25. £2.85."
VIII,E,"BETTY KIRKLAND, 600 acs. Brunswick Co. in the fork of Bedingsfields
Cr., down the middle fork of Bedingfield
Cr.; adj. Haris [Harris], Price & Brewer;
1 May 1775, p.26. £3. Whereas by pat.
5 Feb 1753 gtd. William Brewer
containing 1,718 acs. [1,781 acs. in PB
32, p.30] And Whereas Betty & William
Kirkland in whom the Right and title of
600 acs. part is since become vested hath
failed to pay Quitrents as to 600 acs. and
Gideon Harris hath made humble to the
Late President of our Council &
Commander in Chief and hath obtained
a G for the same which he hath assigned
unto Betty Kirkland."
VIII,E,"EDMUND TAYLOR, 400 acs. Mecklenburg Co. on both sides of Mitchel's fork
of Bluestone Cr., adj. Miller; 1 May
1775, p.28. £2. Whereas by pat. 19 Jul
1757 [19 May 1757] gtd. unto John
Wilbourn [PB 33, p.360] in Mecklenburg formerly Lunenburg Co. and
where-as the sd John Wilbourn have
failed to pay Quitrents and Timothy
Smith hath made humble suit to our Late
Lieutenant Governor and Commander in
Chief and hath obtained a G for the
same."
VIII,E,"ANTHONY STREET, 214 acs. Lunenburg Co. on polecat Cr.; adj. Thos. Scott,
Ben Burchett, Jones Sikes, Valentine
Brown, Mason, William Smithson &
John Smithson; 1 May 1775, p.29.
£1.S5. Whereas by Pat. 10 Apr 1751
gtd. unto Abraham Cocke [PB 29, p.366]
one Certain tract or parcel of Land Containing 5,450 acs. Lunenburg Co. And
Whereas Peter Cocke in whom the right
of 200 acs. part thereof is since become
vested hath failed to pay the Quitrents of
the sd 200 acs. which upon a resurvey is
found to contain 214 acs. and Sylvanus
Walker hath made humble Suit to our
Lieutenant & Governor General and hath
obtained a G. for the same which he hath
Assigned unto Anthony Street."
