volume,book,raw_entry
VIII,F,"HENRY SMITH, 207 acs. by Survey 28
Apr 1780 in Henry Co. on the N brs. of
Russels cr., Crossing a large br.; adj.
Lyon, Shelton; 10 Apr 1781, Thomas
Jefferson Governor of the
Commonwealth of Virginia, in the fifth
year of the Commonwealth, p.1. in
Consideration of the Ancient
Composition of 25 Shill. Sterl."
VIII,F,"JOSHUA STONE, 300 acs. Pittsylvania
Co. on both Sides of Milk cr., Crossing
Mill cr., adj. William Tucker & William
Payne; 10 Apr 1781, p.2. in
Consideration of the sum of £1,600
Current Money paid by Joshua Stone
unto Abraham Shelton Escheator for
Pittsylvania Co.; being part of 595 acs.
late the property of John Smith Murdock
and Comps. British Subjects and sold by
the sd Abraham Shelton Escheator unto
the sd Joshua Stone Agreeable to two
Acts of Assembly passed in the year 1779
the one Intitled an Act Concerning
Escheats and forefeitures from British
Subjects the Other Intitled an Act
Concerning Escheators."
VIII,F,"THOMAS STEWART/STUART Ass'ee
of JAMES STEWART who was Ass'ee
of CORNELIUS DOGHERTY who was
Ass'ee of of ROBERT CAMPBELL, 100
acs. by Survey 3 Oct 1770 in Botetourt
Co. on a br. of Carrs cr. the waters of
James Riv., on the top of a ridge, on the
bank of a run; 10 Apr 1781, p.3. A.C. of
10 Shill. Sterl."
VIII,F,"SAMUEL SEEGAR of the State of North
Carolina Ass'ee of CHARLES TALBOT,
850 acs. in three Entries by Survey 8 Apr
1779 in Bedford Co. including the head
of Little Whipping cr. and heads of other
E brs. of Whipping cr., Beginning in
Watkins road, up Miry br; adj.
Dougherty, John Hall, George Jones &
Talbot; 10 Apr 1781, p.5. A.C. of £4.85
Sterl."
VIII,F,"PHILLIP SILER Ass'ee of
ALEXANDER WALKER, 70 acs. by
CAVALIERS AND PIONEERS
Survey 21 May 1769 in Augusta Co.
upon Broad cr. in the forks of James Riv.,
adj. a tract of L. belonging to sd Walker
& the Old Survey; 10 Apr 1781, p.6.
A.C. of 10 Shill. Sterl."
VIII,F,"ELIPHAZ SHELTON, 365 acs. by
Survey 29 Apr 1780 in Henry Co. on the
waters of Mayo Riv., on the Main
Mountain; 10 Apr 1781, p.7. A.C. of £2
Sterl."
VIII,F,"JOHN HANDCOCK, 136 acs. by Survey
23 Mar 1780 in Fluvanna Co. on the brs.
of the South fork of Cunningham cr.; adj.
Benjamin Fitzpatrick, Scott, Ross, Napier
& Cockrin; 1 Mar 1781, p.8. A.C. of 15
Shill. Sterl."
VIII,F,"STEPHEN SEAY, 334 acs. by Survey 15
Nov 1774 in Albemarle Co. on the Brs.
of Great and little Bremore creeks, to the
Secretarys old rolling road on the
Mountain hill, Crossing the Secretary
road; adj. William Williams, John
Alloway, the sd Stephen Seays old Patent
line & the sd Stephen Seays corner on a
Cove; 1 Mar 1781, p.9. A.C. of 35 Shill.
Sterl."
VIII,F,"WILLIAM OLIVER, 400 acs. by Survey
20 Nov 1780 in Halifax Co. on the
draughts of Childry cr., down little
Childry, Crossing Bookers; adj. John
Malicole formerly Charles Bosticks,
Scater, Selcocke, Polley, Hill, Cruse,
Handcock, Hunt, Yuille & Oliver; 10 Apr
1781, p.11. A.C. of £2. Sterl."
VIII,F,"MICAJAH TERRELL, 366 acs. by
Survey 17 May 1769 in Amherst Co. on
the N side and Joining the Fluvanna riv.
on both Sides of Bollings cr., Crossing
the South fork of Bollings cr., on the
bank of the North fork of Bollings Cr.;
adj. Henry Harper, Bolling, Daniel
Burford & his own lines; 10 Apr 1781,
p.13. A.C. of £2 Sterl."
VIII,F,"ROBERT STUART Ass'ee of JAMES
STUART who was Ass'ee of PETER
ANGLEY or OLNGLEY, 60 acs. by
Survey 1 Apr 1773 in Augusta Co. on the
south Mountain on the waters of Mary cr.
a br. of James riv., Beginning in a draft,
Crossing a Spurr; 10 Apr 1781, p.15.
A.C. 10 Shill."
