threshold_km,cumulative_pct
0,0.00
1,0.00
2,0.00
3,2.22
4,2.22
5,2.22
6,4.44
7,4.44
8,4.44
9,4.44
10,4.44
11,4.44
12,4.44
13,6.67
14,6.67
15,6.67
16,6.67
17,8.89
18,8.89
19,8.89
20,8.89
21,11.11
22,11.11
23,11.11
24,11.11
25,11.11
26,11.11
27,11.11
28,11.11
29,11.11
30,11.11
31,15.56
32,17.78
33,17.78
34,20.00
35,20.00
36,22.22
37,26.67
38,31.11
39,33.33
40,33.33
41,33.33
42,33.33
43,33.33
44,33.33
45,35.56
46,35.56
47,35.56
48,35.56
49,35.56
50,35.56
51,35.56
52,35.56
53,35.56
54,35.56
55,37.78
56,44.44
57,44.44
58,44.44
59,44.44
60,44.44
61,44.44
62,46.67
63,46.67
64,46.67
65,46.67
66,46.67
67,46.67
68,46.67
69,48.89
70,48.89
71,51.11
72,51.11
73,51.11
74,51.11
75,51.11
76,53.33
77,53.33
78,53.33
79,53.33
80,53.33
81,53.33
82,53.33
83,53.33
84,53.33
85,53.33
86,53.33
87,53.33
88,53.33
89,57.78
90,60.00
91,64.44
92,64.44
93,64.44
94,66.67
95,68.89
96,68.89
97,68.89
98,68.89
99,68.89
100,68.89
101,68.89
102,68.89
103,68.89
104,68.89
105,68.89
106,68.89
107,71.11
108,71.11
109,71.11
110,71.11
111,71.11
112,71.11
113,71.11
114,71.11
115,71.11
116,71.11
117,71.11
118,71.11
119,71.11
120,71.11
121,71.11
122,73.33
123,73.33
124,75.56
125,75.56
126,77.78
127,80.00
128,80.00
129,80.00
130,80.00
131,82.22
132,82.22
133,82.22
134,82.22
135,82.22
136,82.22
137,82.22
138,82.22
139,82.22
140,82.22
141,82.22
142,82.22
143,82.22
144,82.22
145,82.22
146,84.44
147,84.44
148,84.44
149,84.44
150,86.67
