threshold_km,cumulative_pct
0,0.00
1,0.00
2,0.00
3,0.00
4,0.00
5,0.00
6,4.65
7,4.65
8,4.65
9,6.98
10,6.98
11,6.98
12,9.30
13,9.30
14,9.30
15,9.30
16,11.63
17,11.63
18,16.28
19,16.28
20,16.28
21,18.60
22,18.60
23,18.60
24,20.93
25,20.93
26,20.93
27,20.93
28,20.93
29,23.26
30,23.26
31,25.58
32,25.58
33,25.58
34,27.91
35,32.56
36,32.56
37,32.56
38,37.21
39,37.21
40,37.21
41,37.21
42,39.53
43,39.53
44,39.53
45,41.86
46,41.86
47,41.86
48,41.86
49,41.86
50,41.86
51,44.19
52,44.19
53,44.19
54,44.19
55,46.51
56,51.16
57,51.16
58,51.16
59,51.16
60,51.16
61,53.49
62,53.49
63,53.49
64,53.49
65,53.49
66,53.49
67,53.49
68,53.49
69,53.49
70,53.49
71,55.81
72,55.81
73,55.81
74,55.81
75,55.81
76,55.81
77,55.81
78,55.81
79,55.81
80,55.81
81,55.81
82,55.81
83,55.81
84,55.81
85,55.81
86,55.81
87,55.81
88,55.81
89,55.81
90,55.81
91,58.14
92,58.14
93,58.14
94,58.14
95,60.47
96,62.79
97,65.12
98,65.12
99,65.12
100,65.12
101,65.12
102,65.12
103,65.12
104,65.12
105,65.12
106,65.12
107,67.44
108,67.44
109,67.44
110,67.44
111,67.44
112,67.44
113,67.44
114,67.44
115,67.44
116,67.44
117,67.44
118,67.44
119,67.44
120,69.77
121,72.09
122,74.42
123,74.42
124,76.74
125,76.74
126,76.74
127,79.07
128,79.07
129,79.07
130,79.07
131,79.07
132,79.07
133,79.07
134,79.07
135,79.07
136,79.07
137,79.07
138,79.07
139,79.07
140,79.07
141,79.07
142,79.07
143,79.07
144,79.07
145,79.07
146,81.40
147,81.40
148,81.40
149,81.40
150,83.72
