threshold_km,cumulative_pct
0,0.00
1,0.00
2,0.00
3,0.00
4,4.65
5,4.65
6,6.98
7,9.30
8,11.63
9,16.28
10,16.28
11,16.28
12,16.28
13,18.60
14,23.26
15,25.58
16,30.23
17,32.56
18,32.56
19,39.53
20,44.19
21,44.19
22,46.51
23,46.51
24,46.51
25,51.16
26,53.49
27,58.14
28,60.47
29,62.79
30,62.79
31,65.12
32,65.12
33,65.12
34,67.44
35,69.77
36,74.42
37,74.42
38,79.07
39,79.07
40,79.07
41,79.07
42,79.07
43,79.07
44,86.05
45,86.05
46,88.37
47,88.37
48,90.70
49,90.70
50,90.70
51,93.02
52,93.02
53,93.02
54,93.02
55,93.02
56,93.02
57,93.02
58,95.35
59,95.35
60,95.35
61,95.35
62,95.35
63,95.35
64,95.35
65,95.35
66,95.35
67,95.35
68,95.35
69,95.35
70,95.35
71,95.35
72,95.35
73,95.35
74,95.35
75,95.35
76,95.35
77,95.35
78,95.35
79,95.35
80,95.35
81,95.35
82,95.35
83,97.67
84,97.67
85,97.67
86,97.67
87,97.67
88,97.67
89,97.67
90,97.67
91,97.67
92,97.67
93,97.67
94,97.67
95,97.67
96,97.67
97,97.67
98,97.67
99,100.00
100,100.00
101,100.00
102,100.00
103,100.00
104,100.00
105,100.00
106,100.00
107,100.00
108,100.00
109,100.00
110,100.00
111,100.00
112,100.00
113,100.00
114,100.00
115,100.00
116,100.00
117,100.00
118,100.00
119,100.00
120,100.00
121,100.00
122,100.00
123,100.00
124,100.00
125,100.00
126,100.00
127,100.00
128,100.00
129,100.00
130,100.00
131,100.00
132,100.00
133,100.00
134,100.00
135,100.00
136,100.00
137,100.00
138,100.00
139,100.00
140,100.00
141,100.00
142,100.00
143,100.00
144,100.00
145,100.00
146,100.00
147,100.00
148,100.00
149,100.00
150,100.00
