threshold_km,cumulative_pct
0,0.00
1,0.00
2,0.00
3,0.00
4,0.00
5,0.00
6,2.33
7,2.33
8,2.33
9,2.33
10,4.65
11,4.65
12,11.63
13,11.63
14,13.95
15,16.28
16,20.93
17,23.26
18,25.58
19,25.58
20,25.58
21,27.91
22,27.91
23,30.23
24,32.56
25,34.88
26,34.88
27,37.21
28,37.21
29,39.53
30,41.86
31,46.51
32,46.51
33,46.51
34,48.84
35,51.16
36,55.81
37,55.81
38,58.14
39,58.14
40,58.14
41,58.14
42,62.79
43,62.79
44,65.12
45,67.44
46,69.77
47,72.09
48,72.09
49,74.42
50,76.74
51,76.74
52,76.74
53,76.74
54,76.74
55,76.74
56,79.07
57,79.07
58,79.07
59,79.07
60,81.40
61,81.40
62,81.40
63,81.40
64,81.40
65,81.40
66,81.40
67,86.05
68,86.05
69,86.05
70,86.05
71,88.37
72,88.37
73,88.37
74,90.70
75,90.70
76,90.70
77,90.70
78,90.70
79,90.70
80,90.70
81,90.70
82,90.70
83,90.70
84,90.70
85,90.70
86,90.70
87,90.70
88,90.70
89,90.70
90,90.70
91,90.70
92,90.70
93,90.70
94,90.70
95,90.70
96,90.70
97,93.02
98,93.02
99,93.02
100,93.02
101,93.02
102,93.02
103,93.02
104,95.35
105,95.35
106,95.35
107,95.35
108,95.35
109,95.35
110,95.35
111,95.35
112,95.35
113,95.35
114,95.35
115,95.35
116,95.35
117,95.35
118,95.35
119,95.35
120,95.35
121,95.35
122,95.35
123,95.35
124,95.35
125,95.35
126,95.35
127,95.35
128,95.35
129,95.35
130,95.35
131,95.35
132,95.35
133,95.35
134,95.35
135,95.35
136,95.35
137,95.35
138,95.35
139,95.35
140,95.35
141,95.35
142,95.35
143,95.35
144,95.35
145,95.35
146,95.35
147,95.35
148,95.35
149,95.35
150,95.35
