threshold_km,cumulative_pct
0,0.00
1,1.16
2,2.33
3,5.81
4,9.30
5,9.30
6,13.95
7,13.95
8,15.12
9,15.12
10,18.60
11,19.77
12,19.77
13,22.09
14,23.26
15,24.42
16,24.42
17,25.58
18,27.91
19,33.72
20,34.88
21,34.88
22,36.05
23,37.21
24,38.37
25,40.70
26,43.02
27,44.19
28,46.51
29,47.67
30,50.00
31,51.16
32,54.65
33,56.98
34,56.98
35,58.14
36,59.30
37,61.63
38,62.79
39,65.12
40,65.12
41,66.28
42,68.60
43,70.93
44,70.93
45,75.58
46,76.74
47,79.07
48,79.07
49,80.23
50,80.23
51,81.40
52,82.56
53,82.56
54,83.72
55,83.72
56,84.88
57,86.05
58,86.05
59,86.05
60,86.05
61,86.05
62,87.21
63,89.53
64,91.86
65,91.86
66,91.86
67,91.86
68,93.02
69,93.02
70,94.19
71,94.19
72,94.19
73,94.19
74,94.19
75,94.19
76,95.35
77,95.35
78,95.35
79,95.35
80,95.35
81,95.35
82,95.35
83,96.51
84,96.51
85,96.51
86,96.51
87,96.51
88,96.51
89,96.51
90,97.67
91,97.67
92,97.67
93,97.67
94,97.67
95,97.67
96,97.67
97,97.67
98,97.67
99,98.84
100,98.84
101,98.84
102,100.00
103,100.00
104,100.00
105,100.00
106,100.00
107,100.00
108,100.00
109,100.00
110,100.00
111,100.00
112,100.00
113,100.00
114,100.00
115,100.00
116,100.00
117,100.00
118,100.00
119,100.00
120,100.00
121,100.00
122,100.00
123,100.00
124,100.00
125,100.00
126,100.00
127,100.00
128,100.00
129,100.00
130,100.00
131,100.00
132,100.00
133,100.00
134,100.00
135,100.00
136,100.00
137,100.00
138,100.00
139,100.00
140,100.00
141,100.00
142,100.00
143,100.00
144,100.00
145,100.00
146,100.00
147,100.00
148,100.00
149,100.00
150,100.00
