threshold_km,cumulative_pct
0,0.00
1,0.00
2,0.00
3,0.00
4,0.00
5,0.00
6,2.33
7,2.33
8,2.33
9,4.65
10,4.65
11,4.65
12,4.65
13,6.98
14,9.30
15,11.63
16,11.63
17,13.95
18,13.95
19,13.95
20,13.95
21,13.95
22,13.95
23,13.95
24,18.60
25,18.60
26,20.93
27,23.26
28,23.26
29,23.26
30,23.26
31,25.58
32,27.91
33,27.91
34,27.91
35,27.91
36,27.91
37,32.56
38,32.56
39,34.88
40,37.21
41,37.21
42,37.21
43,37.21
44,37.21
45,39.53
46,39.53
47,39.53
48,39.53
49,41.86
50,41.86
51,41.86
52,41.86
53,41.86
54,41.86
55,44.19
56,46.51
57,46.51
58,46.51
59,48.84
60,48.84
61,51.16
62,51.16
63,51.16
64,51.16
65,51.16
66,51.16
67,51.16
68,51.16
69,53.49
70,53.49
71,55.81
72,55.81
73,55.81
74,55.81
75,55.81
76,55.81
77,55.81
78,55.81
79,58.14
80,60.47
81,60.47
82,60.47
83,60.47
84,60.47
85,60.47
86,60.47
87,60.47
88,60.47
89,62.79
90,62.79
91,62.79
92,65.12
93,65.12
94,65.12
95,65.12
96,65.12
97,65.12
98,65.12
99,65.12
100,65.12
101,65.12
102,65.12
103,65.12
104,67.44
105,69.77
106,69.77
107,69.77
108,72.09
109,72.09
110,72.09
111,72.09
112,72.09
113,72.09
114,72.09
115,74.42
116,74.42
117,74.42
118,79.07
119,79.07
120,81.40
121,83.72
122,86.05
123,86.05
124,86.05
125,86.05
126,86.05
127,86.05
128,86.05
129,88.37
130,88.37
131,88.37
132,88.37
133,88.37
134,88.37
135,88.37
136,88.37
137,90.70
138,90.70
139,90.70
140,93.02
141,93.02
142,95.35
143,95.35
144,97.67
145,97.67
146,97.67
147,97.67
148,97.67
149,97.67
150,97.67
