threshold_km,cumulative_pct
0,0.00
1,0.00
2,1.50
3,6.02
4,14.29
5,20.30
6,24.06
7,25.56
8,29.32
9,34.59
10,36.84
11,39.85
12,43.61
13,49.62
14,52.63
15,54.89
16,56.39
17,59.40
18,61.65
19,62.41
20,63.16
21,65.41
22,65.41
23,68.42
24,69.92
25,72.18
26,72.93
27,73.68
28,74.44
29,75.19
30,75.19
31,75.94
32,75.94
33,76.69
34,76.69
35,78.20
36,78.95
37,80.45
38,82.71
39,83.46
40,83.46
41,87.22
42,87.22
43,88.72
44,90.23
45,90.23
46,90.23
47,90.23
48,90.98
49,92.48
50,93.23
51,93.23
52,93.23
53,93.23
54,93.23
55,93.98
56,93.98
57,93.98
58,93.98
59,93.98
60,93.98
61,93.98
62,93.98
63,93.98
64,93.98
65,93.98
66,93.98
67,93.98
68,93.98
69,93.98
70,93.98
71,94.74
72,95.49
73,95.49
74,95.49
75,95.49
76,95.49
77,96.24
78,96.24
79,96.24
80,96.24
81,96.24
82,96.24
83,96.24
84,96.24
85,96.24
86,96.24
87,96.24
88,96.99
89,96.99
90,96.99
91,96.99
92,96.99
93,96.99
94,96.99
95,96.99
96,96.99
97,96.99
98,96.99
99,96.99
100,96.99
101,97.74
102,97.74
103,97.74
104,98.50
105,98.50
106,98.50
107,98.50
108,98.50
109,98.50
110,98.50
111,98.50
112,98.50
113,98.50
114,98.50
115,98.50
116,98.50
117,98.50
118,98.50
119,98.50
120,98.50
121,98.50
122,98.50
123,98.50
124,98.50
125,98.50
126,98.50
127,98.50
128,98.50
129,98.50
130,98.50
131,98.50
132,98.50
133,98.50
134,98.50
135,98.50
136,98.50
137,98.50
138,98.50
139,98.50
140,98.50
141,98.50
142,98.50
143,98.50
144,98.50
145,98.50
146,98.50
147,98.50
148,98.50
149,98.50
150,98.50
