threshold_km,cumulative_pct
0,0.00
1,0.00
2,0.00
3,0.00
4,0.00
5,0.00
6,0.00
7,2.33
8,2.33
9,2.33
10,4.65
11,4.65
12,4.65
13,4.65
14,4.65
15,4.65
16,4.65
17,6.98
18,6.98
19,6.98
20,11.63
21,11.63
22,13.95
23,16.28
24,16.28
25,16.28
26,18.60
27,23.26
28,25.58
29,27.91
30,27.91
31,27.91
32,27.91
33,27.91
34,30.23
35,32.56
36,34.88
37,34.88
38,34.88
39,37.21
40,39.53
41,39.53
42,39.53
43,39.53
44,44.19
45,46.51
46,46.51
47,46.51
48,48.84
49,51.16
50,53.49
51,55.81
52,55.81
53,55.81
54,55.81
55,55.81
56,58.14
57,58.14
58,60.47
59,60.47
60,60.47
61,62.79
62,62.79
63,62.79
64,62.79
65,65.12
66,69.77
67,72.09
68,72.09
69,72.09
70,76.74
71,76.74
72,76.74
73,76.74
74,79.07
75,79.07
76,81.40
77,88.37
78,88.37
79,90.70
80,90.70
81,93.02
82,93.02
83,93.02
84,95.35
85,95.35
86,95.35
87,95.35
88,97.67
89,97.67
90,97.67
91,97.67
92,97.67
93,97.67
94,97.67
95,97.67
96,97.67
97,97.67
98,97.67
99,97.67
100,97.67
101,97.67
102,97.67
103,97.67
104,97.67
105,97.67
106,97.67
107,97.67
108,97.67
109,97.67
110,97.67
111,97.67
112,97.67
113,97.67
114,97.67
115,97.67
116,97.67
117,97.67
118,97.67
119,97.67
120,97.67
121,97.67
122,97.67
123,97.67
124,100.00
125,100.00
126,100.00
127,100.00
128,100.00
129,100.00
130,100.00
131,100.00
132,100.00
133,100.00
134,100.00
135,100.00
136,100.00
137,100.00
138,100.00
139,100.00
140,100.00
141,100.00
142,100.00
143,100.00
144,100.00
145,100.00
146,100.00
147,100.00
148,100.00
149,100.00
150,100.00
