threshold_km,cumulative_pct
0,0.00
1,0.00
2,0.00
3,2.33
4,2.33
5,2.33
6,4.65
7,6.98
8,6.98
9,6.98
10,6.98
11,6.98
12,6.98
13,6.98
14,6.98
15,9.30
16,9.30
17,9.30
18,9.30
19,11.63
20,13.95
21,13.95
22,16.28
23,16.28
24,20.93
25,23.26
26,23.26
27,23.26
28,23.26
29,23.26
30,25.58
31,25.58
32,27.91
33,27.91
34,30.23
35,30.23
36,30.23
37,37.21
38,37.21
39,37.21
40,37.21
41,37.21
42,37.21
43,39.53
44,41.86
45,41.86
46,41.86
47,41.86
48,41.86
49,41.86
50,41.86
51,41.86
52,41.86
53,41.86
54,44.19
55,44.19
56,44.19
57,46.51
58,46.51
59,48.84
60,53.49
61,53.49
62,55.81
63,58.14
64,62.79
65,62.79
66,65.12
67,65.12
68,65.12
69,65.12
70,65.12
71,65.12
72,65.12
73,67.44
74,67.44
75,67.44
76,67.44
77,67.44
78,67.44
79,67.44
80,67.44
81,69.77
82,69.77
83,69.77
84,69.77
85,69.77
86,69.77
87,69.77
88,69.77
89,69.77
90,69.77
91,72.09
92,74.42
93,74.42
94,74.42
95,76.74
96,76.74
97,76.74
98,76.74
99,76.74
100,76.74
101,76.74
102,76.74
103,76.74
104,79.07
105,79.07
106,79.07
107,79.07
108,79.07
109,79.07
110,81.40
111,81.40
112,81.40
113,81.40
114,81.40
115,81.40
116,81.40
117,81.40
118,81.40
119,83.72
120,83.72
121,83.72
122,83.72
123,83.72
124,83.72
125,83.72
126,86.05
127,90.70
128,90.70
129,90.70
130,90.70
131,90.70
132,90.70
133,90.70
134,90.70
135,90.70
136,90.70
137,90.70
138,90.70
139,90.70
140,90.70
141,90.70
142,90.70
143,90.70
144,90.70
145,90.70
146,90.70
147,90.70
148,90.70
149,90.70
150,90.70
