threshold_km,cumulative_pct
0,0.00
1,0.78
2,1.29
3,3.10
4,5.68
5,6.46
6,8.27
7,8.79
8,10.08
9,11.63
10,13.18
11,13.95
12,14.99
13,17.57
14,19.90
15,21.19
16,22.48
17,24.55
18,25.84
19,28.94
20,30.23
21,30.75
22,31.52
23,32.56
24,33.85
25,36.95
26,39.53
27,42.12
28,43.67
29,44.96
30,45.99
31,47.80
32,49.10
33,50.65
34,51.68
35,53.23
36,55.56
37,57.11
38,58.40
39,59.69
40,60.21
41,60.98
42,62.02
43,63.31
44,65.12
45,67.44
46,68.22
47,69.25
48,70.03
49,71.32
50,72.09
51,73.13
52,73.64
53,73.64
54,73.90
55,74.42
56,75.45
57,75.97
58,76.49
59,77.26
60,77.52
61,78.04
62,78.29
63,79.33
64,80.62
65,80.88
66,81.40
67,82.17
68,82.69
69,83.72
70,85.01
71,86.05
72,86.82
73,87.08
74,87.60
75,87.60
76,88.37
77,89.15
78,89.41
79,89.92
80,90.18
81,90.44
82,90.70
83,91.21
84,91.47
85,91.99
86,91.99
87,91.99
88,92.51
89,92.76
90,93.02
91,93.02
92,93.28
93,93.28
94,93.28
95,93.28
96,93.28
97,93.54
98,93.54
99,94.06
100,94.06
101,94.06
102,94.57
103,94.57
104,95.35
105,95.61
106,95.61
107,95.61
108,95.87
109,95.87
110,95.87
111,96.12
112,96.12
113,96.12
114,96.12
115,96.38
116,96.38
117,96.38
118,96.90
119,96.90
120,97.16
121,97.42
122,97.67
123,97.67
124,97.93
125,97.93
126,97.93
127,97.93
128,97.93
129,98.19
130,98.19
131,98.19
132,98.19
133,98.19
134,98.19
135,98.19
136,98.19
137,98.45
138,98.45
139,98.45
140,98.71
141,98.71
142,98.97
143,98.97
144,99.22
145,99.22
146,99.22
147,99.22
148,99.22
149,99.22
150,99.22
