row_index,method_id,model,pipeline,prompt_id,prompt_version,prediction,input_tokens,output_tokens,reasoning_tokens,total_tokens,latency_s,error_km,is_mock,is_locatable
1,H-1,human-gis,static,static,1,"37.1118778, -76.895924",0,0,0,0,0,48.0935671,0,1
1,M-1,o4-mini-2025-04-16,one_shot,one_shot_dms_v1,v1,"36°58'58.08000""N 076°49'10.36000""W",150,3609,3584,3759,98.25842309,50.95927356,0,1
1,M-2,o3-2025-04-16,one_shot,one_shot_dms_v1,v1,"36°51'21.96000""N 077°24'08.28000""W",150,2585,2560,2735,55.37818122,8.754868348,0,1
1,M-3,o3-mini-2025-01-31,one_shot,one_shot_dms_v1,v1,"37°04'00.00000""N 076°55'30.00000""W",150,3284,3264,3434,25.13383293,43.82841011,0,1
1,M-4,gpt-4.1-2025-04-14,one_shot,one_shot_dms_v1,v1,"36°56'44.0000""N 77°06'15.0000""W",151,20,0,171,0.6809101105,25.4201403,0,1
1,M-5,chatgpt-4o-latest,one_shot,one_shot_dms_v1,v1,"36°52'16.0000""N 77°06'12.0000""W",151,20,0,171,0.5026488304,26.42352808,0,1
1,M-6,gpt-3.5-turbo,one_shot,one_shot_dms_v1,v1,"36°59'22.5""N 77°32'09.1""W",153,18,0,171,0.9528777599,14.36140109,0,1
1,T-1,o4-mini-2025-04-16,tool_chain,tool_chain_v0,v5,"36.947928, -77.400811",3480,608,0,4088,18.68159413,1.811355553,0,1
1,T-4,gpt-4.1-2025-04-14,tool_chain,tool_chain_v0,v5,"36.947928, -77.400811",903,12,0,915,2.213179111,1.811355553,0,1
2,H-1,human-gis,static,static,1,"37.4974701, -76.9990453",0,0,0,0,0,36.81600921,0,1
2,M-1,o4-mini-2025-04-16,one_shot,one_shot_dms_v1,v1,"37°31'48.12345""N 077°18'02.54321""W",162,2201,2176,2363,59.65307784,18.44535409,0,1
2,M-2,o3-2025-04-16,one_shot,one_shot_dms_v1,v1,"37°40'43.32000""N 77°36'41.40000""W",162,3353,3328,3515,122.6248722,24.32330754,0,1
2,M-3,o3-mini-2025-01-31,one_shot,one_shot_dms_v1,v1,"37°24'30.12345""N 076°55'15.67890""W",162,2068,2048,2230,34.91571879,48.39785355,0,1
2,M-4,gpt-4.1-2025-04-14,one_shot,one_shot_dms_v1,v1,"37°37'51.0000""N 77°05'30.0000""W",163,20,0,183,0.7366690636,22.58806466,0,1
2,M-5,chatgpt-4o-latest,one_shot,one_shot_dms_v1,v1,"37°38'10.0000""N 77°02'15.0000""W",163,20,0,183,0.4816110134,27.01716696,0,1
2,M-6,gpt-3.5-turbo,one_shot,one_shot_dms_v1,v1,"37°39'24.0""N 76°59'24.0""W",164,18,0,182,0.6639442444,30.70296491,0,1
2,T-1,o4-mini-2025-04-16,tool_chain,tool_chain_v0,v5,"37.501986, -77.040608",4258,263,0,4521,9.461933136,33.61394315,0,1
2,T-4,gpt-4.1-2025-04-14,tool_chain,tool_chain_v0,v5,"37.465376, -76.964306",1908,40,0,1948,3.807185888,41.4149874,0,1
3,H-1,human-gis,static,static,1,"37.1232245, -78.4927721",0,0,0,0,0,139.5883791,0,1
3,M-1,o4-mini-2025-04-16,one_shot,one_shot_dms_v1,v1,"36°43'48.72000""N 077°57'05.04000""W",138,2521,2496,2659,51.33144593,84.48348173,0,1
3,M-2,o3-2025-04-16,one_shot,one_shot_dms_v1,v1,"36°59'16.80000""N 77°05'49.20000""W",138,4505,4480,4643,80.48861194,30.38122535,0,1
3,M-3,o3-mini-2025-01-31,one_shot,one_shot_dms_v1,v1,"37°18'00.00000""N 076°42'30.00000""W",138,2516,2496,2654,25.88445997,69.07487423,0,1
3,M-4,gpt-4.1-2025-04-14,one_shot,one_shot_dms_v1,v1,"36°56'12.0000""N 77°10'30.0000""W",139,20,0,159,0.8431079388,28.03335664,0,1
3,M-5,chatgpt-4o-latest,one_shot,one_shot_dms_v1,v1,"36°59'12.0000""N 77°06'45.0000""W",139,20,0,159,0.5252110958,30.64694821,0,1
3,M-6,gpt-3.5-turbo,one_shot,one_shot_dms_v1,v1,"36°44'12.0""N 77°49'48.0""W",138,18,0,156,0.7014279366,73.67035108,0,1
3,T-1,o4-mini-2025-04-16,tool_chain,tool_chain_v0,v5,"37.006972, -77.196013",14126,766,0,14892,33.98189616,35.70597088,0,1
3,T-4,gpt-4.1-2025-04-14,tool_chain,tool_chain_v0,v5,"37.166166, -77.240224",6006,161,0,6167,8.414433002,53.35425961,0,1
4,H-1,human-gis,static,static,1,"37.1232245, -78.4927721",0,0,0,0,0,120.0735728,0,1
4,M-1,o4-mini-2025-04-16,one_shot,one_shot_dms_v1,v1,"38°30'31.30000""N 078°02'43.99000""W",157,5337,5312,5494,98.40370297,42.38470503,0,1
4,M-2,o3-2025-04-16,one_shot,one_shot_dms_v1,v1,"38°17'33.39816""N 078°27'32.00040""W",157,3097,3072,3254,73.32277012,16.27661484,0,1
4,M-3,o3-mini-2025-01-31,one_shot,one_shot_dms_v1,v1,"38°15'00.00000""N 077°27'00.00000""W",157,3988,3968,4145,34.39184308,76.30638916,0,1
4,M-4,gpt-4.1-2025-04-14,one_shot,one_shot_dms_v1,v1,"38°16'44.0000""N 77°44'12.0000""W",158,20,0,178,0.936205864,51.86093073,0,1
4,M-5,chatgpt-4o-latest,one_shot,one_shot_dms_v1,v1,"38°17'12.0000""N 78°03'36.0000""W",158,20,0,178,1.418518066,24.96630602,0,1
4,M-6,gpt-3.5-turbo,one_shot,one_shot_dms_v1,v1,"38°20'12.0""N 77°50'24.0""W",158,18,0,176,0.7319998741,44.84327283,0,1
4,T-1,o4-mini-2025-04-16,tool_chain,tool_chain_v0,v5,"38.204165, -77.607787",1891,238,0,2129,6.236513138,62.30127558,0,1
4,T-4,gpt-4.1-2025-04-14,tool_chain,tool_chain_v0,v5,"38.204165, -77.607787",1687,39,0,1726,1.983919859,62.30127558,0,1
5,H-1,human-gis,static,static,1,"37.744783, -77.4464165",0,0,0,0,0,12.96984232,0,1
5,M-1,o4-mini-2025-04-16,one_shot,one_shot_dms_v1,v1,"37°49'39.51912""N 77°24'20.12076""W",153,1241,1216,1394,22.74821186,16.99762134,0,1
5,M-2,o3-2025-04-16,one_shot,one_shot_dms_v1,v1,"37°57'18.51804""N 077°48'25.96068""W",153,4505,4480,4658,69.48665404,27.59710289,0,1
5,M-3,o3-mini-2025-01-31,one_shot,one_shot_dms_v1,v1,"37°20'11.00000""N 077°25'45.00000""W",153,2260,2240,2413,14.20997,50.97084817,0,1
5,M-4,gpt-4.1-2025-04-14,one_shot,one_shot_dms_v1,v1,"37°44'16.0000""N 77°27'36.0000""W",154,20,0,174,1.150748968,12.08717931,0,1
5,M-5,chatgpt-4o-latest,one_shot,one_shot_dms_v1,v1,"37°45'32.0000""N 77°26'15.0000""W",154,20,0,174,0.4272780418,13.39844189,0,1
5,M-6,gpt-3.5-turbo,one_shot,one_shot_dms_v1,v1,"37°46'12.0""N 77°31'48.0""W",163,18,0,181,0.654253006,5.174056035,0,1
5,T-1,o4-mini-2025-04-16,tool_chain,tool_chain_v0,v5,"37.758454, -77.582007",2969,273,0,3242,9.85598588,2.143959794,0,1
5,T-4,gpt-4.1-2025-04-14,tool_chain,tool_chain_v0,v5,"37.758454, -77.582007",1674,35,0,1709,1.886218071,2.143959794,0,1
