model,n_samples,mean_km,median_km,ci_low,ci_high,wilcoxon_p
human-gis,43,71.39969943588373,60.20053393,58.428338486554644,85.5945584684029,2.391579982941039e-07
o4-mini-2025-04-16,86,39.64907924160698,32.209650875,33.819690820757565,44.77432345520337,0.0011269704091887434
o3-2025-04-16,133,22.98225578813828,13.17240153,18.417458910593695,28.243914119202195,
o3-mini-2025-01-31,43,50.25218647569768,48.39785355,43.327183687637785,57.693356886565105,3.3050284855562495e-06
gpt-4.1-2025-04-14,86,32.869237201348845,30.370066785,28.143963574284594,37.74699720180232,0.0073769910127339244
chatgpt-4o-latest,43,27.93495434613953,24.96630602,22.550967332243022,33.69556689623139,0.003735737998113109
gpt-3.5-turbo,43,43.05212419172094,34.01923741,33.15925170044476,54.49317317189884,0.00010901214432124107
stanford-ner,43,79.02012158139536,59.451193,56.36846396976746,107.9059043104651,9.07727326193708e-07
CC,45,80.13744180033808,70.49102092837387,65.62427627045896,94.70633219046181,1.1092879503848962e-08
M3_PP,45,93.46271928895187,60.274801656050926,68.8865442867411,121.27164629602737,9.969596703740535e-09
H-1,43,71.39969943588373,60.20053393,58.43756428350815,85.49857796103139,2.391579982941039e-07
M-1,43,41.64631182383721,27.38624805,34.32303627275291,50.156502974924415,2.9724520345553174e-05
M-2,43,23.393235129697675,14.26836259,17.631214690086626,29.34929542533314,0.09965301639954305
M-3,43,50.25218647569768,48.39785355,42.59882370777906,57.48187827634827,3.3050284855562495e-06
M-4,43,28.508072472465116,25.4201403,22.594033212883723,35.1208617811657,0.011613824877258594
M-5,43,27.93495434613953,24.96630602,22.375612232009885,33.90484946157732,0.003735737998113109
M-6,43,43.05212419172094,34.01923741,32.85798913712442,55.09284964091918,0.00010901214432124107
T-1,43,37.651846659376744,33.61394315,30.32473831597024,44.86385158873535,0.0005909765266096656
T-4,43,37.23040193023255,34.22397941,29.487675331773257,44.32773782198023,0.0003337923919843888
H-2,43,79.02012158139536,59.451193,56.48281152151163,106.8742393854651,9.07727326193708e-07
o3_ensemble5_redact,45,22.930475263175474,12.01378489374454,14.909786347148785,33.20189628924794,0.9821680753024111
CC,45,80.13744180033808,70.49102092837387,65.40186269127886,94.62378763897425,1.1092879503848962e-08
M3_PP,45,93.46271928895187,60.274801656050926,69.65989093403944,122.47125370880264,9.969596703740535e-09
