model,mean_error_km,mean_latency_s,hours_per_1k
CC,80.33156846575444,0.0,0.0
M3_PP,94.27660866100209,0.0,0.0
chatgpt-4o-latest,27.934954346139538,0.6401384708139535,0.17781624189276488
gpt-3.5-turbo,43.05212419172093,0.8100650809860466,0.22501807805167962
gpt-4.1-2025-04-14,32.86923720134884,2.789440665110465,0.7748446291973514
human-gis,71.39969943588372,0.0,0.0
o3-2025-04-16,21.070700808067837,45.26038494577166,12.57232915160324
o3-mini-2025-01-31,50.25218647569768,30.68295722767442,8.523043674354007
o4-mini-2025-04-16,39.64907924160698,23.127626269465118,6.424340630406977
stanford-ner,79.02012158139536,0.0,0.0
