subject_id,project_id,workflow_id,subject_set_id,metadata,locations,classifications_count,retired_at,retirement_reason,created_at,updated_at
109176161,30259,,127967,"{""#zoom"":""9"",""image1"":""test_entry_01_z9.png"",""image2"":""test_entry_01_z11.png"",""image3"":""test_entry_01_z14.png"",""image4"":""test_entry_01_z16.png"",""#is_gold"":""1"",""raw_entry"":""LEWIS GREEN, of Pr. Geo, Co; 460 acs. (N. L.), Surry Co; on N. side of Nottoway River; beg. ar mouth of Stony Cr; to the South Wester Sw; adj. John Guillum; \u0026 Major Robert Bolling; 22 Feb. 1724, p. 170. 40 Shill."",""subject_id"":""test_entry_01"",""#center_lat"":""36.934201"",""#center_lon"":""-77.389837""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/0a63551f-2835-4a44-81da-ce5c0a563b1b.png"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/f72bff1d-2f92-4d8f-8991-dd484462dd8e.png"",""2"":""https://panoptes-uploads.zooniverse.org/subject_location/89aa0d90-37c1-480d-9311-55372f80062a.png"",""3"":""https://panoptes-uploads.zooniverse.org/subject_location/cc16624a-d37e-422e-9243-1acfa80989b8.png""}",0,,,2025-05-04 13:23:21 UTC,2025-05-04 13:23:21 UTC
109176162,30259,,127967,"{""#zoom"":""9"",""image1"":""test_entry_02_z9.png"",""image2"":""test_entry_02_z11.png"",""image3"":""test_entry_02_z14.png"",""image4"":""test_entry_02_z16.png"",""#is_gold"":""0"",""raw_entry"":""JOHN SMALL, 203 acs. (N. L.). Up. Pat. of Nansemond Co; in the Maple Pocoson; adj. Thomas Speight; \u0026 Daniel Pugh’s line; on the Timber Pocoson; 31 Oct. 1726, p. 45. 20 Shill.."",""subject_id"":""test_entry_02"",""#center_lat"":""36.90796549"",""#center_lon"":""-76.57572297""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/75ee35d1-41a3-4d6f-99bd-55ffbef6624f.png"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/fd8323e1-9691-47ee-a91a-cbb942d1cb31.png"",""2"":""https://panoptes-uploads.zooniverse.org/subject_location/3552d617-b78a-479f-89c0-6da682cf32b3.png"",""3"":""https://panoptes-uploads.zooniverse.org/subject_location/1785685a-73ba-4376-97bc-92f991f55636.png""}",0,,,2025-05-04 13:23:21 UTC,2025-05-04 13:23:21 UTC
109176163,30259,,127967,"{""#zoom"":""9"",""image1"":""test_entry_03_z9.png"",""image2"":""test_entry_03_z11.png"",""image3"":""test_entry_03_z14.png"",""image4"":""test_entry_03_z16.png"",""#is_gold"":""1"",""raw_entry"":""JOHN JONES, 75 acs. (N. L.), New Kent Co., in St. Paul’s Par; beg. at Capt. Dangerfield’s, near sd. Jones, plantation; down S. br. of Crump’s Cr; to mouth of Gentry’s Br; on Gentry’s line; 11 July 1719, p. 440. Imp. of 2 pers: John Ducker \u0026 George Brasfield."",""subject_id"":""test_entry_03"",""#center_lat"":""37.693581"",""#center_lon"":""-77.335728""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/c9750c59-5027-4c47-8e3d-41430a4b614c.png"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/609c5fc2-2b9a-42f0-a1b6-f7a8d53039d7.png"",""2"":""https://panoptes-uploads.zooniverse.org/subject_location/24418c7a-b796-4bc6-b6ff-032736a47618.png"",""3"":""https://panoptes-uploads.zooniverse.org/subject_location/ec4fb29d-3c86-46a4-8bf2-664bba87b703.png""}",0,,,2025-05-04 13:23:21 UTC,2025-05-04 13:23:21 UTC
109176164,30259,,127967,"{""#zoom"":""9"",""image1"":""test_entry_04_z9.png"",""image2"":""test_entry_04_z11.png"",""image3"":""test_entry_04_z14.png"",""image4"":""test_entry_04_z16.png"",""#is_gold"":""1"",""raw_entry"":""WILLIAM WILLIAMS, 400 acs., on 8. side of the main Black Water Swamp; by run of Holloway Sw; 24 Apr. 1703, p. 519. Trans. of 8 pers: Note: 8 tights paid for to Wm, Byrd, Esqr., Auditor."",""subject_id"":""test_entry_04"",""#center_lat"":""36.72539131"",""#center_lon"":""-77.00605786""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/1ce9ee6d-3277-46b1-b495-1e02e7dbe5aa.png"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/3a5ae647-3f8f-47b6-8373-a0d8a077c08e.png"",""2"":""https://panoptes-uploads.zooniverse.org/subject_location/8d430a42-2098-42cc-aa00-802da5d1fb40.png"",""3"":""https://panoptes-uploads.zooniverse.org/subject_location/ff8d2b7a-3103-4e4c-a98e-45d1eeb2d203.png""}",0,,,2025-05-04 13:23:22 UTC,2025-05-04 13:23:22 UTC
109176165,30259,,127967,"{""#zoom"":""9"",""image1"":""test_entry_05_z9.png"",""image2"":""test_entry_05_z11.png"",""image3"":""test_entry_05_z14.png"",""image4"":""test_entry_05_z16.png"",""#is_gold"":""0"",""raw_entry"":""JAMES TERRY, 418 acs., in Pamunkey Neck; K. \u0026 Q. Co., in St. John’s Par; adj. Thomas Carr; \u0026 Macon’s line: 25 Apr. 1701, p. 356. Imp. of 9 pers: Richd. Drake; John Woodris, Anthony Bouswell, Luke Wynn, Robert Buttris, Sarah Couch, John Hearth, Edward Powell, Thomas Coakes."",""subject_id"":""test_entry_05"",""#center_lat"":""37.80222858"",""#center_lon"":""-77.34118128""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/c6373aa5-0a8b-4918-85d0-dccd53804b66.png"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/eaf2847a-da4f-4fbc-8611-43dbc5205243.png"",""2"":""https://panoptes-uploads.zooniverse.org/subject_location/1fa10cf0-b491-41b4-96c6-5555a3c14b9e.png"",""3"":""https://panoptes-uploads.zooniverse.org/subject_location/dc8daccf-699d-4956-82eb-5082fb9a4802.png""}",0,,,2025-05-04 13:23:22 UTC,2025-05-04 13:23:22 UTC
109176166,30259,,127967,"{""#zoom"":""9"",""image1"":""test_entry_06_z9.png"",""image2"":""test_entry_06_z11.png"",""image3"":""test_entry_06_z14.png"",""image4"":""test_entry_06_z16.png"",""#is_gold"":""1"",""raw_entry"":""EDWARD RIPPING, RICHARD HICKMAN \u0026 RALPH GOUGH, of Williamsburgh; 10,000 acs. (N. L.), Spotsy]l. Co; on S. side the Rappidan (Riv.); adj. patent of sd. Ripping; \u0026 cor. of the Octana tract; 23 July 1722, p. 151. 50 Lbs."",""subject_id"":""test_entry_06"",""#center_lat"":""38.19444"",""#center_lon"":""-78.32064""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/073a74a3-1273-4fc1-9291-6a8588e418df.png"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/9e0e420b-7291-4599-82b8-94b5b42bf6bd.png"",""2"":""https://panoptes-uploads.zooniverse.org/subject_location/3111216d-c908-42ba-94c6-b60cab36d85d.png"",""3"":""https://panoptes-uploads.zooniverse.org/subject_location/82f178c0-0894-4bfb-a8a8-faa95ac34a1b.png""}",0,,,2025-05-04 13:23:22 UTC,2025-05-04 13:23:22 UTC
109176167,30259,,127967,"{""#zoom"":""9"",""image1"":""test_entry_07_z9.png"",""image2"":""test_entry_07_z11.png"",""image3"":""test_entry_07_z14.png"",""image4"":""test_entry_07_z16.png"",""#is_gold"":""1"",""raw_entry"":""SAMUEL GENTRY, 196 acs. (N. L.), Hanover Co; on both sides of Beech Cr; adj. Mr. ‘Alves’ cor; William Harris’ line; \u0026 line of Drummond \u0026 Scott; 22 Feb. 1724, p. 145. 20 Shill."",""subject_id"":""test_entry_07"",""#center_lat"":""37.777108"",""#center_lon"":""-77.588177""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/e6223c33-05b1-43f7-8ab5-9afe1240ca31.png"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/d0c57090-7235-4669-9184-482c18cfa12d.png"",""2"":""https://panoptes-uploads.zooniverse.org/subject_location/5addb826-90bb-4eb6-a495-13350d36bb3e.png"",""3"":""https://panoptes-uploads.zooniverse.org/subject_location/115a4fa4-c85e-471f-84d0-204d043ad215.png""}",0,,,2025-05-04 13:23:22 UTC,2025-05-04 13:23:22 UTC
109176168,30259,,127967,"{""#zoom"":""9"",""image1"":""test_entry_08_z9.png"",""image2"":""test_entry_08_z11.png"",""image3"":""test_entry_08_z14.png"",""image4"":""test_entry_08_z16.png"",""#is_gold"":""0"",""raw_entry"":""STEPHEN: SAMPSON, 211 acs., Chas. City Cb., in Westopher- Par; N. side of James River, 23 Oct. 1703, p. 578. Adj. John Rayster (or Royster) ; \u0026 Jonas Liscomb. Granted John Blackburne, 28 Apr. 1691; now granted by order, \u0026c. Trans. of 5 pers.* Note: Paid Wm. Byrd, Esqr., Auditor for 5 rights."",""subject_id"":""test_entry_08"",""#center_lat"":""37.32820891"",""#center_lon"":""-77.18181159""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/3a411787-e42a-4f7e-935c-58623c5cfcab.png"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/4bfac2b1-1f4f-4104-82e5-d17e806bed3f.png"",""2"":""https://panoptes-uploads.zooniverse.org/subject_location/2eb88478-6913-4b27-96c4-2f0d9648061e.png"",""3"":""https://panoptes-uploads.zooniverse.org/subject_location/58103fbb-7412-46f4-85cc-5e1748f96920.png""}",0,,,2025-05-04 13:23:22 UTC,2025-05-04 13:23:22 UTC
109176169,30259,,127967,"{""#zoom"":""9"",""image1"":""test_entry_09_z9.png"",""image2"":""test_entry_09_z11.png"",""image3"":""test_entry_09_z14.png"",""image4"":""test_entry_09_z16.png"",""#is_gold"":""1"",""raw_entry"":""HENRY POWERS, of Jas. City Co; 250 acs. (N. L.), Is. of Wight Co; on W. side of the Flatt Sw; 18 Feb. 1722, p. 17-4. 25 Shill."",""subject_id"":""test_entry_09"",""#center_lat"":""36.642194"",""#center_lon"":""-77.350167""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/38a78652-5ce3-4525-b9db-53412740ff4f.png"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/a8dce34d-850c-42fe-9a4f-4c466d02a581.png"",""2"":""https://panoptes-uploads.zooniverse.org/subject_location/34751d52-0259-4d3a-8894-a5437aacfbc7.png"",""3"":""https://panoptes-uploads.zooniverse.org/subject_location/8ea43e35-7e1b-4e9c-9fdf-f579792ff6da.png""}",0,,,2025-05-04 13:23:23 UTC,2025-05-04 13:23:23 UTC
109176170,30259,,127967,"{""#zoom"":""9"",""image1"":""test_entry_10_z9.png"",""image2"":""test_entry_10_z11.png"",""image3"":""test_entry_10_z14.png"",""image4"":""test_entry_10_z16.png"",""#is_gold"":""0"",""raw_entry"":""WILLIAM LACEY, 474 acs.; New Kent Co., in Blisland Par., 2 Nov. 1708, p. 704. Beg. at head of Mattadequinee tun, a br. of Tyascun ‘Sw; by lines -pf land now or late of Hitchman, or Hopkins. Imp. of 10 pers: Robt. Covert, Steph. Hobbs, Robt. Stubbs, John Thomas, Tho. Dawson, Femerton Sparks, Richd. Windsor, John Tyra, -John Richardson, Tho, Wharton."",""subject_id"":""test_entry_10"",""#center_lat"":""37.47925209"",""#center_lon"":""-76.81314141""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/7b492322-79fd-4f7f-be90-5cb33b58e1ef.png"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/3d4a1406-8e07-4871-a84a-6e608ad99475.png"",""2"":""https://panoptes-uploads.zooniverse.org/subject_location/49b8d0c7-3e20-4d35-a534-59d505a74a32.png"",""3"":""https://panoptes-uploads.zooniverse.org/subject_location/0cade53c-e8a5-4bb9-9181-db991d3af46f.png""}",0,,,2025-05-04 13:23:23 UTC,2025-05-04 13:23:23 UTC
109176171,30259,,127967,"{""#zoom"":""9"",""image1"":""test_entry_11_z9.png"",""image2"":""test_entry_11_z11.png"",""image3"":""test_entry_11_z14.png"",""image4"":""test_entry_11_z16.png"",""#is_gold"":""1"",""raw_entry"":""THOMAS CHEW, GENT., !600 acs, (N. L.), Spossyl. Co; on botin sides the Biw Ren, oa W. side of the Litth Mountains; on fine deviding Hanover \u0026 Spotsylvania Countys; adj, Major William Todd, in the County Line; 16 dune 1727, p. 155. 8 Lbs., Money."",""subject_id"":""test_entry_11"",""#center_lat"":""38.165759"",""#center_lon"":""-78.274476""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/d1793dd6-0b30-44a5-b5b9-7a5751910d02.png"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/4b332edd-acbc-4eca-8ea1-490cc8d2d591.png"",""2"":""https://panoptes-uploads.zooniverse.org/subject_location/87234fd1-12d3-4cc3-bcd9-672e7e6ae99b.png"",""3"":""https://panoptes-uploads.zooniverse.org/subject_location/3a3a4b4c-a790-4ab5-9927-08a0a4a0da29.png""}",0,,,2025-05-04 13:23:23 UTC,2025-05-04 13:23:23 UTC
109176172,30259,,127967,"{""#zoom"":""9"",""image1"":""test_entry_12_z9.png"",""image2"":""test_entry_12_z11.png"",""image3"":""test_entry_12_z14.png"",""image4"":""test_entry_12_z16.png"",""#is_gold"":""0"",""raw_entry"":""JOHN BOROUGH, 200 acs. (N. L.), Pr. Geo. Co; on S. side the Orterdam Br. or Swamp; on Wood’s line; 9 July 1724, p. 73. 20 Shill."",""subject_id"":""test_entry_12"",""#center_lat"":""37.04018931"",""#center_lon"":""-77.05142841""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/fd4f78d5-3647-4120-92ea-87d359e361cf.png"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/bf1abc9f-ff47-48eb-8c03-6f3af7827e3d.png"",""2"":""https://panoptes-uploads.zooniverse.org/subject_location/c94b4ef3-c8fd-455f-8418-29a5fd42beeb.png"",""3"":""https://panoptes-uploads.zooniverse.org/subject_location/012e9b60-4a7f-4f37-abc5-eff55b616eee.png""}",0,,,2025-05-04 13:23:23 UTC,2025-05-04 13:23:23 UTC
