grant_id,name_std,acreage,year,county_text,raw_entry,missing_name,missing_county
GRAY_1_0,2-1: Henry Lewis,160.0,1694.0,,"2-1: Henry Lewis 160 A. [part missing] adj. William Perce, Luke Thornton, Col.
John Walker. 1 Oct. 1694.",False,True
GRAY_1_19,2-20: Jonathan Mothershead,301.0,1694.0,,"2-20: Jonathan Mothershead 301 A. on Little Hunting Cr. Wrnt. to Mr. Bland 5
Oct. 1694. Adj. Giles Vandegasteel, Edward Keninton. 5 Oct. 1694.",False,True
GRAY_1_20,2-21: Anthony Beard,492.0,1694.0,,"2-21: Anthony Beard 492 A. in Washington Par. Wrnt. to Mr. Alexander Spence 5
Oct. 1694. On road from Appomatox Cr. to Washington's Mill, near John Weedon,
the Indian Path, adj. Daniel White. 5 Oct. 1694.",False,True
GRAY_1_26,2-28: William Carter,89.0,1694.0,,"2-28: William Carter 89 A. in Richmond Co. on Charles Beaver dam. Wrnt. 9 Oct.
returned by Mr. Moseley's Surv. Adj. Carter's Plantation, David Sterne,
Giles Matthews, James Trent. 9 Oct. 1694.",False,True
GRAY_1_37,2-39: John Matthews,2466.0,1694.0,,"2-39: John Matthews 2466 A. on S.W. side Great Hunting Cr., adj. his own head
line, S. Br. Little Hunting Cr. 13 Oct. 1694.",False,True
GRAY_1_38,2-39: Mr,690.0,1694.0,,"2-39: Mr. William Downing surv'd 690 A. Mr. William Paine bought 350 A. Grant
to Paine. On Potowmack Cr., adj. Mal'a Peal. 11 Oct. 1694.Will devised to William, son, and Mary & Margaret, daus. of Capt. John Norgrave,
for life but no longer. William, Mary, & Margaret being dead & no heir appearing
nor further disposition from Langford, Escheat Grant to Mr. Joseph Whitson who
purchased the three estates. Adj. Capt. Giles Brant. 14 Oct. 1694.",False,True
GRAY_1_39,2-41: Thomas Norman 90 1/,3.0,1694.0,,"2-41: Thomas Norman 90 1/3 A. of Marsh on Oquia Cr. Wrnt. 21 Oct. 1694. Surv.
by Capt. George Brent. Adj. John Fosaker, Thomas Norman. 21 Oct. 1694.",False,True
GRAY_1_51,2-51: William Williams,186.0,1694.0,,2-51: William Williams 186 A. on Doegs Run adj. his other land. 1 Nov. 1694.,False,True
GRAY_1_53,2-53: Mr,90.0,1694.0,,"2-53: Mr. Francis Triplett 90 A. adj. 300 A he bought of Mr. William Underwood
& 200 A. bought of one Coleman. Surv. by Mr. Edwyn Conway. Between Rappahanock
and Potowmack, adj- Coleman's land, on Mattox Cr. 2 Nov. 1694.",False,True
GRAY_1_58,2-57: William Colston(coleston),100.0,1694.0,,"2-57: William Colston(Coleston) 100 A. on Totaskey Cr. in Richmond Co. adj. Mr.
James Williamson. 14 Nov. 1694.",False,True
GRAY_1_64,2-62: William Smith,84.0,1694.0,,"2-62: William Smith of Richmond Co. 84 A. in Richmond Co. on Bryary Swamp.
Surv. by Mr. Edwin Conway. Adj. Daniel O Neall, land formerly Edmund Goodman's
now Smith's, Doctor Deacre's Rd. 20 Nov. 1694.",False,True
GRAY_1_65,2-63: John Rankin,32.0,1694.0,,"2-63: John Rankin 32 A. on Marrattico Cr. in Richmond Co. Surv. by Mr. Edwin
Conway. Adj. Mr. John Ockley, Mr. John Overton. 20 Nov. 1694.",False,True
GRAY_1_68,2-65: Thomas Wilson,50.0,1694.0,,"2-65: Thomas Wilson of Westmoreland Co. died seized of 50 A. between Rappahanock and Potowmack Rs. Escheat Grant to Col. William Peirce of said Co. Adj.
George Bruce, Leonard Dozier, land Richard Burk leased to Peirce. 23 Nov. 1694.",False,True
GRAY_1_73,2-73: Mr,119.0,1694.0,,"2-73: Mr. Robert Pritchard 119 A. adj. Mr. Joseph Ball, Stephen Tomlin, land of
orphans of Mr. William Frisell, dec'd. 24 Nov. 1694.",False,True
GRAY_1_79,2-78: Ralph Walker,1283.0,1694.0,,"2-78: Ralph Walker of Staffford Co. 1 Oct. 1694 suggested 1283 A. ungranted.
Mr. G. Brent Jr. & Mr. William Chandler to Surv. Deed for 1250 A. on Rocky Run
of Austins Run. 1 Nov. 1694.",False,True
GRAY_1_81,2-79: Mr,75.0,1694.0,,"2-79: Mr. Vincent Cox 75 A. in Yeocomico forrest adj. Cox's other land, Henry
Duncham, Robert Selfe. 28 Nov. 1694.",False,True
GRAY_1_83,2-82: Thomas Dusin,126.0,1694.0,,"2-82: Thomas Dusin 126 A. on Totaskey Cr. adj. Mr. William Thatcher, Mrs.
Wilks. Land was surv'd by Mr. William Moseley for Peter Elmore who sold to
Dusin. 28 Nov. 1694.",False,True
GRAY_1_98,2-98: Ed,50.0,1694.0,,"2-98: Ed. Crooker died seized of 50 A. in Richmond Co. between Farnam &
Marrattico Crs. Grant to Mr. Alexander Newman of Richmond Co. Adj. Mr. Robt.
Palmer. 18 Dec. 1694.",False,True
GRAY_1_100,2-100: William Hancock,300.0,1694.0,,"2-100: William Hancock of Richmond Co. 300 A. on Totaskey Cr. - part of Patent
granted Thomas Freswater who sold to Hancock. Adj. Daniel Swillivant, Wilcocks's
line. 18 Dec. 1694.",False,True
GRAY_1_101,2-101: Andrew Farmer In 1653 Patented,300.0,1694.0,,"2-101: Andrew Farmer in 1653 patented 300 A. He died without heirs. Escheat
Grant to Capt. John Washington of Westmoreland Co. On upper Machoduck Cr. called
Mattopony, where Mr. Dade formerly lived, adj. Sims Path, Mr. Buckners line. 19
Dec. 1694.",False,True
GRAY_1_118,2-123: Alexander Swan,78.0,1694.0,,"2-123: Alexander Swan of Lancaster Co. 78 A. on Farnham Cr. in Richmond Co.
adj. line of Fauntleroy, on White Oak Sw., John Aimes, other tract of Williams,
William Wheeler. 11 Feb. 1694/5.",False,True
GRAY_1_125,2-130: Thomas Porter,175.0,1694.0,,"2-130: Thomas Porter 175 A. adj. George King, Henry Bury, Porter's plantation,
Br. of Machotick, Hale's road. 7 Mar. 1694/5.",False,True
GRAY_1_127,2-132: Robert Peck,100.0,1694.0,,"2-132: Robert Peck 100 A. of 550 A. surv'd for Henry Bury adj. William Lippet,
Mr. Savage, Henry Bury, Symonds marked tree, Mr. James Kay, a Surv. for Robert
Peck. 7 Mar. 1694/5.",False,True
GRAY_1_128,2-134: Gerrard Ford,250.0,1694.0,,"2-134: Gerrard Ford 250 A. on Attopin Cr. or called Rosiers Cr., Sw. by
Potowmack R., adj. Mr. Lawrance Washington, Francis Gray, Ford's other land,
Thomas ArrowSmith. 9 Mar. 1694/5.",False,True
GRAY_1_130,2-135: Ralph Whiting,250.0,1694.0,,"2-135: Ralph Whiting 250 A. adj. Esquire Wormeley, on Chingateague Brs. 11
Mar. 1694/5.",False,True
GRAY_1_131,2-136: Ralph Whiting,450.0,1694.0,,"2-136: Ralph Whiting 450 A. adj. William Lippett, Simson's marked oak, James
Kay, Henry Bury, Robert Peck. Said 450 A. is part of 550 A. surv'd for Henry
Bury. 11 Mar. 1694/5.",False,True
GRAY_1_132,2-137: James Matthews,100.0,1694.0,,"2-137: James Matthews 100 A. adj. John Griffins, John Easter, on Chingateague.
11 Mar. 1694/5.",False,True
GRAY_1_133,2-137: John Easter,123.0,1694.0,,2-137: John Easter 123 A. on main Run of Chingateague. 11 Mar. 1694/5.,False,True
GRAY_1_134,2-138: John Griffin,450.0,1694.0,,"2-138: John Griffin 450 A. adj. Ralph Whiting, James Matthews, on main Run of
Chingateague, Esquire Wormeley. 11 Mar. 1694/5.",False,True
GRAY_1_135,2-138: John Motts,240.0,1694.0,,"2-138: John Motts 240 A. below Chatwin's Bridge, adj. Chatwins line, Richard
Alderson, land known as the Short Neck. 13 Mar. 1694/5.",False,True
GRAY_1_136,2-139: Henry Stoneham,117.0,1694.0,,"2-139: Henry Stoneham 117 A. adj. land called Short Neck, Mr. Alexander Newman.
13 Mar. 1694/5.",False,True
GRAY_1_137,2-139: Edward Platt,106.0,1694.0,,"2-139: Edward Platt 106 A. on Br. of Mechotick dam, adj. Mr. William & John
Bumbury, Mr. Simon Cox, George King. 15 Mar. 1694/5.",False,True
GRAY_1_138,2-140: Joseph Henson,391.0,1694.0,,"2-140: Joseph Henson 391 A. upon the Clift, by the Run. 16 Mar. 1694/5.",False,True
GRAY_1_140,2-142: Maxfield Brown,228.0,1694.0,,"2-142: Maxfield Brown 228 A. adj. Mr. Francis Wright's land formerly Col. John
Washington's dec'd, orphans of William Brown dec'd, John Rosse. 19 Mar. 1694/5.",False,True
GRAY_1_141,2-143: John Hornesby,107.0,1694.0,,"2-143: John Hornesby 107 A. adj. Mr. Christopher Neal, Mr. Taylor, by Br. of
Wiccomoco R. 21 Mar. 1694/5.",False,True
GRAY_1_142,2-144: Arthur Marsh,50.0,1695.0,,"2-144: Arthur Marsh 50 A. on Wiccomoco R. adj. James Pope, road from said R. to
Corotoman, other tract of Marsh's. 26 Mar. 1695.",False,True
GRAY_1_148,2-152: Thomas Salisbury,300.0,1695.0,,"2-152: Thomas Salisbury 300 A. ona Sw. adj. William Griffins, Christopher
Garlington, in main woods. 27 Mar. 1695.",False,True
