grantee,acreage,county,date,snippet
ABRAHAM MOON,1700,Lancaster,1700-01-01,"ABRAHAM MOON, 1700 acs. Lan- caster Co., last of Mar. 1653, p. 69. Upon S. side of Rappa. Riv. oposite land of Lady Chichley; bounded S. E. along Lady Chisleys land till it cometh to land of Capt. William Brocas, Esqr. &c. N. W. & N. Upon Nyemcock Cr. & N. E. to beg., being down the sd. Cr. upon land of the aforesd. Lady Chisley alis. Sir Henry Chichley. Due for trans, of 34 pers: James Rods, John Pelam, John Brice, William Dray, James Brice, William Byer, John Roberts, James Williams, William L..."
RICHARD GIBLE,800,Westmoreland,1662-12-09,"RICHARD GIBLE, 800 acs. North- umberland Co., Dec. 1656, p. 66, (97). Ely. by S. upon a creek dividing this & lands of John Hull, Hugh Souch & James Magregor, N. by E. upon land of Robert Newman & W. by N. upon a creek dividing this & land of Mr. Pres- ley. Trans, of 16 pers: Robert New- man, Wm. Winterton, Mary Robinson, Ann Pettito, John Dunnidge, John Wilkenson, Anne Wilkenson, Vincent Stanford, Wm. Chapman, John Branch, Mary Branch, Mary Branch, Junr., Ed- ward Toogood, David Griffin, John W..."
COL. ROBT. SMITH,1299,Westmoreland,1661-02-26,"COL. ROBT. SMITH, 1299 acs. Lan- caster Co., 26 Feb. 1661, p. 280, (382). 412 acs. on N. side of Rappa. Riv., & 887 acs. beg. on the W. side of a swamp & run that issues into Pyanka- tanck Riv. 412 acs. granted to Lambert Moore & Barthol. Linton 17 Feb. 1658. Sd. Moore assigned his share to sd. Linton who assigned to sd. Smith, & the residue for trans, of 18 pers: Peter Jennings, Jno. Riggs, Eliz. Ellmore, Jno. Green, Wm. Wood, Wm. Bann, An Raignett, Eliz. Ellis, Wm. Covenant, Mathew Morris, Abe..."
MR. WM. THOMAS,300,Northumberland,1661-03-04,"MR. WM. THOMAS, 300 acs. Northumberland Co., 4 Mar. 1661, p. 293, (400). Wly. upon land of Danll. Neale, Sly. upon James Hawley, Ely. on Jno. Motley & Col. Wm. Clayborne & Nly. on Edward Coale. Trans, of 6 pers: Phill. Harwood, Jno. Wray, Roger Pinner, Robt. Salter, Thomas Panton, Edw. Plaice."
SYMON RICHARDSON,400,Northumberland,1662-01-01,"SYMON RICHARDSON, 400 acs. Northumberland Co., 20 Sept. 1662, p. 293, (400). Beg. on back lines of Bales & Richardson, S. W. to Cupids Cr., S.E. by S. to Hering Cr. &c. Trans, of 8 pers: 5 Negroes, Jno. Bateman, Symon Carpenter, Charges Wintell (?). JOHN MOTELY (Motly), of Wic- comico, Carpenter, 600 acs. Northum- berland Co., 13 Jan. 1661, p. 294, (400). On S. side of Wiccomico Cr. S. E. upon land of James Allen, up the horse path & S.Wly. upon land of Roger Walters &c. Renewal of patent dated ..."
THOMAS SALISBURY,400,Northumberland,1661-08-18,"THOMAS SALISBURY, 400 acs. Northumberland Co., 18 Aug. 1661, p. 294, (401). Upon the head of great Wiccomico Riv., Sly. upon Wickers branch. Trans, of 8 pers: Edward Sanders, Robert Wright, Joseph Hary, Myles Cray, Nich. Smith, Jno. Knight, Wm. Henrill (?), Francis Acton."
HUGH FOUCH,1280,Northumberland,1661-07-10,"HUGH FOUCH, 1280 acs. Northumberland Co., 10 July 1661, p. 295, (402). Beg. up Chetanck Cr., extending along a line of trees dividing this & land of Jno. Hull to Cupids Cr., thence S. &c. 800 acs. granted to them by patent dated 3 Apr. 1651 & residue for trans, of 10 pers: Jos. Smith, Fran. Jones, Wm. Hacklett, Hen. Sentence, Ann Corbell, James Peirce, Angell Corbell, Margtt. Baleor, Samll. Nicholls, Hugh Fouch."
THOMAS DORROW,138,Northumberland,1661-07-20,"THOMAS DORROW, 138 acs. Northumberland Co., 20 July 1661, p. 295, (402). Upon little Wiccocomico Riv., 100 acs. Sly. adj. land of Edward Coale, Nly. upon land now in posses- sion of Richard Spann &c. 38 acs. on Chikacone Path, S.E. by land of Hen. Smith & running to aforesd. 100 acs. 100 acs. by patent dated 10 Oct. 1652 & 38 acs. for trans, of James Herryfold (Haryfold)."
JOHN HARRIS,500,Lancaster,1661-01-11,"JOHN HARRIS, 500 acs. Lancaster Co., 11 Jan. 1661, p. 297, (404). Beg. near a path leading from the great swamp to Mr. Parrots & running along his own land. Trans. 10 pers: An Harris, Margtt Tompson, Jno. Cole, Stephen Norman, Wm. Stephens, Han- nah Mills, Jno. Hunt, Mary Tye, Henry Nicholls, Thomas Norton."
JOHN BEBEY,700,Lancaster,1661-02-13,"JOHN BEBEY, 700 acs. Lancaster Co., 13 Feb. 1661, p. 301, (411). On S. side of Rappa. Riv. about 1 mi. up Coxes Cr., formerly called Pascaticon Cr. on the E. side thereof. Renewal of patent dated 4 Oct. 1653."
THOMAS,700,Westmoreland,1662-10-28,"THOMAS, 700 acs. on N.E. side of Mockjack Bay, beg. at corner tree of Mr. Ranson, running to marked tree of Tho. Preston, deed. & S.W. by S. &c. 28 Oct. 1662, p. 304, (416). Renewal of patent dated 16 Nov. 1652. GYLES BRENT, Jr., son of Gyles Brent, Esqr., 1800 acs. Westmoreland Co., 3 Nov. 1662. p. 304, (417). 1000 acs. beg. at the Richahockian stands, ex- tending to near mouth of Hunting Cr. & E.S.E. along Petomake Riv. 800 acs. on S. side sd. river opposite against the Indian Towne of Pascatw..."
CAPT. PETER ASHTON,485,Northumberland,1662-04-02,"CAPT. PETER ASHTON, 485 acs. Northumberland Co., 2 Apr. 1662, p. 305, (418). 400 acs. S. upon Wiccoco- moco Riv., Wly. upon a creek & Ely. upon a creek dividing this & land of Col. Wm. Claiborne; 85 acs. on N. side of sd. Riv. betwixt land of Mr. Hawly & Wm. Betts & Sly. upon the head of a tract of land called Peter Ashtons Necke. 400 acs. renewal of patent dated 17 Nov. 1654 & 85 acs. granted to John Johnson 4 June 1655 & by him assigned to sd. Ashton."
