grantee,acreage,county,date,snippet
PIERCE LENNON,200,Stafford,1683-01-01,"PIERCE LENNON, 200 acs. Charles City Co., Feb. 28, 1642, Page 951. Between 2 creeks of Martin Brandon, near mouth of Wards Cr., opposite against Wayonoak Marsh, adj. James Merryman. Trans, of 4 pers: Pierce Lennon, Rebecca his wyfe, Edmund Lennon, Wm. Russell. (Note: On the last page, or end sheet, appears the following inscrip- tion: ) This Booke was Transcribed by Edward Harrison in the yeare 1683 Patent Book No. 2. By Sir William Berkeley, Knight, Governor, &c. EDWD. MURFREY & JOHN VAUGHAN, 1..."
ABRAHAM MOON,1700,Lancaster,1700-01-01,"ABRAHAM MOON, 1700 acs. Lan- caster Co., last of Mar. 1653, p. 69. Upon S. side of Rappa. Riv. oposite land of Lady Chichley; bounded S. E. along Lady Chisleys land till it cometh to land of Capt. William Brocas, Esqr. &c. N. W. & N. Upon Nyemcock Cr. & N. E. to beg., being down the sd. Cr. upon land of the aforesd. Lady Chisley alis. Sir Henry Chichley. Due for trans, of 34 pers: James Rods, John Pelam, John Brice, William Dray, James Brice, William Byer, John Roberts, James Williams, William L..."
JOHN GILLETT,400,Lancaster,1663-01-01,"JOHN GILLETT, 400 acs. Lancaster Co., on S. E. side of Rappa. Riv., 4 Feb. 1653, p. 229. Near the head of Hoskins Cr., beg. on N. W. side thereof &c. by a line of markt trees dividing this & land of Bartho. Hoskins &c. Trans, of 8 pers: Sarah Gunney, Giles Webb, John Smith, Richard Reekes, Henry Michell, John Willis, Anne Willis, James Nailes, Anne Harris, Margarett Hamlin. Two last land due for. Marginal Note: ""March the 18th 1663 this patent was renew'd in Thomas Buttons name marrying Gilletts..."
LAZARUS THOMAS,250,Lancaster,1662-01-01,"LAZARUS THOMAS, 250 acs. New Kent Co., 12 Oct. 1655, p. 380. On N. E. side of Richohock Path, from a marked tree of Mathew Williamson to Charles Edmonds &c. Trans, of 5 pers.* Note: Assigned unto Step. Pettus & renewed in his name, 10 Mar. 1662. ALEXANDER PORTEU (POUR- TEU), 600 acs. Lancaster Co., 6 Oct. 1656, p. 380. On S. side of Morratticon Cr., W. S. W. upon land of Lambert Lambertson & Rich. Hatton. Granted to David Fox, 25 Nov. 1652, assigned to sd. Porteu & renewed by order of the Govr. ..."
DAVID PHILLIPS,600,Westmoreland,1662-01-01,"DAVID PHILLIPS, 600 acs. James City Co., 24 Jan. 1655, p. 5, (7). On N. side of James Riv., Wly. side of Chicohominy Riv. & N. E. side of Moses his Cr., bounded N. W. on John Williams, & S. E. on Willm. Fry. Due by purchase from Willm. Stronge. ROBERT VAULX, Merchant, 6000 acs. Westmoreland Co., 1 Mar. 1655, Patent Book No. 4 323 p. 5, (7). On S. side of Petomecke Riv. behind the cliffs of Corowoman, beg. on W. side of a great deep run being the head of great Rapahack. Cr. & opposite lower end o..."
JOHN EARLE,100,Lancaster,1663-01-01,"JOHN EARLE, 100 acs. Northumber- land Co., 24 Oct. 1655, p. 14, (20). N. Ely. upon a creek issuing out of Yeocomoco Riv. & S. Ely. upon his own land. Trans, of 2 pers: Wm. Thomas.* JOHN LAWSON, the son of Row- land Lawson, 500 acs. Lancaster Co., 22 Nov. 1655, p. 14, (21). On the N. side & in the freshes of Rappa. Riv. about 12 mi. from the falls. Trans, of 10 pers: Henry Berry, Pa: Cleash, Sarah Turner, Eliz. Sethell, N: Mother- inge, Wm. Nicholson, Geo. Goodale, Jno. Mascale, Dan. Cooper, Kath..."
WILLIAM MOORE,200,Westmoreland,1662-01-01,"WILLIAM MOORE, 200 acs. lyeing at the old Poquoson Riv., 25 Mar. 1656, p. 32, (50). Beg. at Burrowes' necke. Said land formerly assigned unto Joseph Moore by Lucy Purifoy, relict of Capt. Purifoy & allowed of by Tho. Purifoy, sonne & heir of sd. Capt. Purifoy, & now due sd. Wm. as sonne & heir of sd. Joseph. Renewed 29 Oct. 1662. NATHANIELL POPE, Gent., 1550 acs. Westmoreland Co., 24 Apr. 1656, p. 32, (51). On S. side of Petomeck Riv. 1050 acs. on the N. W. of a swampe dividing this & land of Jo..."
PEETER SEXTON,700,Northumberland,1663-01-01,"PEETER SEXTON, 700 acs. Low. Norf. Co., 20 Mar. 1655/6, p. 35, (55). Near the head of the S. branch of Eliz. Riv. & adj. Richd. Joanes. Due by vir- tue of the rights of a patent for the same quantity granted to Tho. Gutte- ridge, gent., assigned unto sd. Sexton & relinquished. Assigned by Ann the re- lict & Admx. of sd. Sexton & renewed in name of Rich. Jones, 11 Apr. 1663. MR. ISAACK FOXCRAFT, March. (Merchant), 2,000 acs. Northumberland Co., 24 Apr. 1656, p. 35, (56). On S. side of great Wicoc..."
LAWRENCE DAMORON,342,Northumberland,1662-01-01,"LAWRENCE DAMORON, 342 acs. Northumberland Co., 8 Oct. 1655, p. 36, (57). N. E. upon the head of tanx Yeocomoco Riv. Renewal of patent to him dated 12 May 1652. Renewed 18 Mar. 1662."
CAPT. JNO. ROGERS,300,Northumberland,1662-01-01,"CAPT. JNO. ROGERS, 300 acs. Northumberland Co., on Cloughtons Cr., 30 Nov. 1656, p. 39, (61). 250 acs. beg. at the head of a branch com- ing out of Monocke branch & along land of Mr. George Higgings; 50 acs. E. upon sd. land, Why. upon the Gleab & Sly. upon land of Mr. Hugh Lee. 250 acs. by patent to John Cloughton, 20 Dec. 1650 & assigned unto sd. Rogers; and 50 acs. his own patent dated 15 Sept. 1654. Renewed 29 Nov. 1662. THOMAS READE, 1,000 acs. North- umberland Co., on S. side of Wiccoco- m..."
WILLIAM THATCHER,400,Westmoreland,1661-01-01,"WILLIAM THATCHER, 400 acs. Lancaster Co., 30 Nov. 1656, p. 41, (63). Upon N. W. side of Corotomen Riv., opposite land of Henry Davis, N. Ely. upon land surveyed for Jno. Nicholls, the forrest dividing this from land one Hale bought of one Hawker. 300 acs. by patent dated 17 May 1655 & 100 acs. for trans, of 2 pers.* LT. COL. NATHANIELL POPE, 1,050 acs. Westmoreland Co., 30 Nov. 1656, p. 41, (63). 50 acs. Nly. upon a branch of the head of Hollis' Cr. at Apamatockes, Ely. upon land of Major John H..."
MYLES DIXON,1000,Lancaster,1661-01-01,"MYLES DIXON, 1000 acs. Lancaster Co., 8 Dec. 1656, p. 43, (66). On S. side of Rappa. Riv. on N. side of the great swamp lyeing Wly. from land of Jno. Haywood. Trans, of 20 pers.* This land is granted to Jno. Apleton, gent., 15 May 1661. Teste: Tho. Brereton, Clk."
WILLIAM JOHNSON,550,Lancaster,1662-01-01,"WILLIAM JOHNSON, 550 acs. on N. W. side of Pasckataynon (Pashata- quon) alias Coxes Cr., parallel to land of Robert Yongue, & S. W. with land of Randall Chamlett, & another part of Paskato Creek. 6 Oct. 1656, p. 45, (68). 350 acs. by former patent & residue for trans, of 4 pers: Mr. Tho- mas Prettyman, Richard Redding, Fran- cis Coulston, Elizabeth Howman. Re- newed in his name 28 July, 1662; & in name of Wm. Johnson, his son, 25 Sept. 1671. HENRY CHICHLEY, Km., 800 acs. Lancaster Co., 7 Oct. 16..."
THOMAS SALSBURY,650,Westmoreland,1662-01-01,"THOMAS SALSBURY, 650 acs. Northumberland Co., 4 June 1656, p. 57, (83). 300 acs. on S. side of great Wicoeomico Riv., N. N. E. upon Vul- cans Cr. & E. S. E. upon land of Henry Weeker; 300 acs. along the head of sd. Weeker to Hulletts, to Faucett, Free- mans & Conowayes land, thence to land of Thomas Kedby sold to Tho. Bales (or Boles). 300 acs. granted sd. Sals- bury 13 Oct. 1653 & 350 acs. due for trans, of 7 pers: Francis Gray, Alice his wife, Mary Gray, Joshua Gray, Ann Gray, Wm. Butler. Note..."
RICHARD GIBLE,800,Westmoreland,1662-12-09,"RICHARD GIBLE, 800 acs. North- umberland Co., Dec. 1656, p. 66, (97). Ely. by S. upon a creek dividing this & lands of John Hull, Hugh Souch & James Magregor, N. by E. upon land of Robert Newman & W. by N. upon a creek dividing this & land of Mr. Pres- ley. Trans, of 16 pers: Robert New- man, Wm. Winterton, Mary Robinson, Ann Pettito, John Dunnidge, John Wilkenson, Anne Wilkenson, Vincent Stanford, Wm. Chapman, John Branch, Mary Branch, Mary Branch, Junr., Ed- ward Toogood, David Griffin, John W..."
MR. JOHN CHANDLER,1500,Northumberland,1663-01-01,"MR. JOHN CHANDLER, 1500 acs. Northumberland Co., 28 Jan. 1656, p. 75, (HO). Upon certain branches of Wicocomico & Chichacone Rivers, on the left hand of a path that goes from Chichacone to Morraticon; 800 acs. bounding N. W. upon sd. path &c; 600 acs. Nly. upon a line which crosses a great branch of Chichacone called Snake Sw., Ely upon land of Francis Clay & 100 acs. adj. these two tracts. Trans, of 30 pers: Jno. Brigges, Anth. Taylor, Ja. Francis, Anne Stannenite, Jane Cates- by, Jno. Stubb, M..."
MR. RICHARD RICE,400,Northumberland,1662-01-01,"MR. RICHARD RICE, 400 acs. Northumberland Co., 28 Jan. 1656, p. 342 Cavaliers and Pioneers 76, (111). On S. W. side of Matta- pony Riv., N. Ely. upon land of Robert Bradshaw & John Bradshaw, N. Wly. on land of Laurence Dameron & a branch of Broad Cr. & S. Ely. above the head of land of Mr. Thomas Broughton. Trans, of 8 pers: Morgan Rossers (or Roffers), Maudlin Allen, Ann Cooper, Sarah Bride, Robert Parkes, Giles Wilson, John Drunkin, Tho. Davis. Renewed in name of James Johnson, to whom it was ..."
