volume,number,title,date_subject,date_published,graphics,physical,subject,location,abstract,notes,catalog_date,catalog_by,date_entered,date_modified,source_file
Volume 1,1,Bus shot for Echo.,"1947-01-01 DO Porter, Lota F.",,Negative Photoprint,4x5B/W 8x10 B/W,"[""BUSES"", ""STR WASHINGTON ST S"", ""SA NO 810""]","[""Porter neg drawers"", ""rf WASHINGTON ST S--300 BLK""]",,Four buses.,"McGill, Apr. 16, 1991",DM,2012-04-04,2012-04-04,General_Index_FCHR_Vol_1
Volume 1,2,The Falls Church Giant Music is moving.,1968 (?),,,5x8 STR BROAD ST E--109 BROAD ST W--110,[],"[""BUSINESSES""]",,,"McGill, Apr. 18, 1991",DM,"March 07,2016",,General_Index_FCHR_Vol_1
Volume 1,3,,1968-01-01 DO Strait,,,8x14,"[""DISCRIMINATION IN HOUSING"", ""ORDINANCES, MUNICIPAL""]","[""DISCRIMINATION IN HOUSING""]",,,McGill,DM,"March 07,2016",,General_Index_FCHR_Vol_1
Volume 1,4,"George Mason, the man who didn't sign.",1987-01-01,"1987-01-01 DO McGill, Dagmar",Illus,5x8,"[""UNITED STATES--CONSTITUTION"", ""BILL OF RIGHTS""]","[""U S--CONSTITUTION--AMENDMENTS--1ST-10TH""]",,,"McGill, Apr. 22, 1991",,"March 07,2016",,General_Index_FCHR_Vol_1
Volume 1,5,...Bicentennial of the American Bill of Rights...,1991-03-23,,Illus,8xl11,"[""GUNSTON HALL"", ""ORG VILLAGE PRESERVATION AND IMPROVEMENT SOCIETY""]","[""U S--CONSTITUTION--AMENDMENTS--1ST-10TH""]",,,"McGill, Apr. 22, 1991",,"March 07,2016",,General_Index_FCHR_Vol_1
Volume 1,6,Welcome to...Gunston Hall,1991-03-23,,Illus,8x11,"[""UNITED STATES--CONSTITUTION"", ""ORG VILLAGE PRESERVATION AND IMPROVEMENT SOCIETY""]","[""U S--CONSTITUTION--AMENDMENTS--1ST-10TH""]",,,"McGill, Apr. 22, 1991",,"March 07,2016",,General_Index_FCHR_Vol_1
Volume 1,7,Bill of Rights STI First Ten Amendments to the Constitution of the United States,1791-01-01,"1991-01-01 DO McGill, Dagmar",Gothic calligraphy,8x11 on pseudo parchment,"[""UNITED STATES--CONSTITUTION"", ""BILL OF RIGHTS""]","[""U S--CONSTITUTION--AMENDMENTS--1ST-10TH""]",,,"McGill, Apr. 22, 1991",DM,"March 07,2016",,General_Index_FCHR_Vol_1
Volume 1,8,U.S. Constitution. STI It has Virginia written all over it.,"Feb. 25,1991 DO Murty, Edward",,,Red and blue,"[""BILL OF RIGHTS""]","[""U S--CONSTITUTION--AMENDMENTS--1ST-10TH""]",,,"McGill, Apr. 22, 1991",,"March 07,2016",,General_Index_FCHR_Vol_1
Volume 1,9,George Mason and the Bill of Rights.,1988-01-01,,Illus,4x11,"[""UNITED STATES--CONSTITUTION""]","[""U S--CONSTITUTION--AMENDMENTS--1ST-10TH""]",,,"McGill, Apr. 22, 1991",,2016-03-07,,General_Index_FCHR_Vol_1
Volume 1,10,"The legacy of the Constitution and Fairfax County, Virginia",1785-01-01,1988-01-01,Illus,6 pp CPS 2,[],"[""U S--CONSTITUTION""]",,,"McGill, Apr. 22, 1991",DM,"March 07,2016",,General_Index_FCHR_Vol_1
