Box Number,Series Number,Series Name,Folder Number,Folder Content
1,1,Bibliography,1,"Bibliographies, 1980-2008"
1,2,Automation,1,"Automation Committee, 1989-1990"
1,2,Automation,2,"Automation, Microfiche Catalog, 1989"
1,2,Automation,3,"Automation, Catalog Conversion"
1,3,Reports,1,"Annual Reports, 1947-1983"
1,3,Reports,2,"Annual Report, Statistical Information, 2000-2015"
1,3,Reports,3,"Statistical Records, 1975-1988"
1,4,Anniversaries,1,"Anniversaries 100 years, Programs, 1999"
1,4,Anniversaries,2,"Anniversaries 100 years, Press, 1999"
1,5,Plan,1,5-year plan: 2001-2006
1,6,Correspondence,1,"Correspondence, City Officials, Library, 1963-1985"
1,6,Correspondence,2,"Correspondence, City Officials, Library, 1942-1962"
2,7,Circulation statistics,1,"Circulation statistics, 1940-1951"
2,8,Library equipment,1,"Furniture and equipment, 1947-1950"
2,9,Resolution,1,"Resolution, 1950"
2,10,Projects,1,"Library inventory, building programs, correspondence, 1951-1953"
2,10,Projects,2,"Land to the Library, correspondence, 1953"
2,11,Finances,1,"Library finances, fee, 1954-1955"
2,12,Reports,1,"Fact sheet, Library Reports, job specifications, correspondence, 1955-1956"
2,12,Reports,2,"Report fiscal year, library programs and plans, 1957-1958"
2,13,Establish a Public Library,1,"Establish a Public Library and Library Board, 1958"
2,13,Establish a Public Library,2,"Grievances, proposals, Douglas resignation, 1959"
2,14,Reports,1,"Reports to the Board of Library Trustees, National Library Week, 1960-1961"
2,14,Reports,2,"Reports, Rotary gifts, 1961"
2,14,Reports,3,"Director's Reports, 1961"
2,15,Modern Library,1,"Modern Library, Reports, 1962"
2,15,Modern Library,2,"Director's Reports, Special Collections, Reading and Discussion Programs, Proclamation National Library Week, 1963"
2,16,"Development, Reports",1,"Director's Reports, Reports of the Assistant Librarian, Staff Notes, 1964"
2,16,"Development, Reports",2,"Development Plan, Director's Reports, 1965"
2,16,"Development, Reports",3,"Report of the Advisory Committee on the Auditorium, Civic Center, Complaints, Correspondence, Director's Reports, 1966-1967"
2,17,Memorandums,1,"Memorandums, Press releases, 1968"
2,18,Board of Trustees,1,"Recommendations, Proposals, Library Board of Trustees documents, Proclamation, 1969"
3,19,Board of Trustees,1,"Library Board of Trustees Meetings, Correspondence, Letters of thanks, Reports, Memorandums, 1970"
3,19,Board of Trustees,2,"Library Board of Trustees Meetings, Correspondence, Letters of thanks, Memorandums, 1971"
3,20,Policy and Procedures,1,Falls Church Public Library Manual of Library Policy and Procedures
3,21,"Planning and Organization of cultural events in the library, Reports",1,"Library Board of Trustees Meetings, Statistical & Annual Reports, Releases, Memorandums, Budget Request, 1972-1974"
3,22,"Ordinance, Director's Reports",1,"Ordinance, Reports, Minutes, Memorandum"
3,23,Renaming of the FC Public Library,1,"Renaming of the Falls Church Library, 1977"
3,23,Renaming of the FC Public Library,2,"Memorial fund; Programming, 1980-1989"
4,24,Procedures & Policy,1,"Information Desk Procedures, 1991"
4,24,Procedures & Policy,2,"Policy Manual, 1982-1999"
4,24,Procedures & Policy,3,"Policy Manual, 1986-2005"
5,25,Manuals,1,"Operations & Maintenance, 1991-1993"
5,25,Manuals,2,"Supervisor's Manual, 1987-1997"
6,26,Library facility,1,"Building Improvements, 1980-1990"
6,26,Library facility,2,"Facility Improvements, 1984-1989"
6,26,Library facility,3,"Facility Improvements, 1991-1992"
6,26,Library facility,4,"Facility Improvements, 2013-2015"
6,26,Library facility,5,"Facility Evaluation/Study, 1984-1988"
6,27,Budgets,1,"Budget FY, 1946-1951"
6,27,Budgets,2,"Budget FY, 1951-1956"
6,27,Budgets,3,"Budget FY, 1956-1961"
6,27,Budgets,4,"Budget FY, 1961-1969"
7,27,"Budgets, continued",5,"Budget FY, 1970-1973"
7,27,"Budgets, continued",6,"Budget FY, 1974-1977"
7,27,"Budgets, continued",7,"Budget FY, 1977-1978"
7,27,"Budgets, continued",8,"Budget FY, 1978-1979"
7,27,"Budgets, continued",9,"Budget FY, 1979-1980"
7,27,"Budgets, continued",10,"Budget FY, 1979-1982"
7,27,"Budgets, continued",11,"Budget FY, 1982-1983"
7,27,"Budgets, continued",12,"Budget FY, 1983-1984"
7,27,"Budgets, continued",13,"Budget FY, 1984-1985"
7,27,"Budgets, continued",14,"Budget FY, 1986"
7,27,"Budgets, continued",15,"Budget FY, 1987-1988"
7,27,"Budgets, continued",16,"Budget FY, 1988-1989"
7,27,"Budgets, continued",17,"Budget FY, 1989"
8,27,"Budgets, continued",18,"Budget FY, 1990"
8,27,"Budgets, continued",19,"Budget FY, 1991"
8,27,"Budgets, continued",20,"Budget FY, 1992, 1993"
8,27,"Budgets, continued",21,"Budget FY, 1995"
8,27,"Budgets, continued",22,"Budget FY II, 2010"
8,28,Board of Trustees,1,"Board of Trustees – Charter, 1954, 1958, 1960, 1972, 1973, 1978, 1979, 1988, 2002"
8,28,Board of Trustees,2,"Board of Trustees – Annual Report, 1947, 1950"
8,29,Bibliographies,1,"Bibliographies – Children, 1972, 1974, 1976, 1977, 1981, 1982, 1986, 1990"
8,29,Bibliographies,2,"Bibliographies Audio Visual, 1975-1978, 1987, 1988"
8,29,Bibliographies,3,"Bibliographies, 1950-1969"
8,29,Bibliographies,4,"Bibliographies, 1970-1978, 1983, 1988"
8,29,Bibliographies,5,"Bibliographies, 1977-1979"
9,30,Building,1,"Building - Broad St. E. 201, 1954-1958"
9,30,Building,2,"Building – Planning, 1950-1957"
9,30,Building,3,"Building – Equipment, 1957-1962"
9,30,Building,4,"Building – Capital Improvement Fund, 1955-1958"
9,30,Building,5,"Building – Architect, 1953-1960"
9,30,Building,6,"Building – Addition – Bond Issue, 1966"
9,30,Building,7,"Building – Addition, 1964-1968"
9,30,Building,8,"Building – Addition – Specifications for Addition, 1968"
